 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_60mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.2000E-04 g/cm3 = 7.5272E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.802E-03  2.412E-02  245.00 um   113.46 um    80.23 um  
  11.00 keV   8.183E-03  2.381E-02  268.00 um   122.57 um    86.57 um  
  12.00 keV   8.546E-03  2.349E-02  291.13 um   131.58 um    92.86 um  
  13.00 keV   8.895E-03  2.317E-02  314.38 um   140.50 um    99.11 um  
  14.00 keV   9.231E-03  2.285E-02  337.75 um   149.33 um   105.33 um  
  15.00 keV   9.555E-03  2.253E-02  361.25 um   158.08 um   111.52 um  
  16.00 keV   9.869E-03  2.222E-02  384.86 um   166.75 um   117.69 um  
  17.00 keV   1.017E-02  2.192E-02  408.59 um   175.34 um   123.85 um  
  18.00 keV   1.047E-02  2.162E-02  432.43 um   183.85 um   129.99 um  
  20.00 keV   1.103E-02  2.104E-02  480.45 um   200.63 um   142.26 um  
  22.50 keV   1.170E-02  2.036E-02  541.02 um   221.21 um   157.54 um  
  25.00 keV   1.234E-02  1.973E-02  602.12 um   241.37 um   172.76 um  
  27.50 keV   1.294E-02  1.913E-02  663.69 um   261.12 um   187.91 um  
  30.00 keV   1.351E-02  1.858E-02  725.65 um   280.46 um   203.00 um  
  32.50 keV   1.406E-02  1.806E-02  787.96 um   299.41 um   218.03 um  
  35.00 keV   1.486E-02  1.757E-02  850.28 um   317.82 um   233.02 um  
