 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_CF4_70mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.743E-03  2.425E-02  232.84 um   104.76 um    74.43 um  
  11.00 keV   1.022E-02  2.387E-02  254.78 um   113.08 um    80.32 um  
  12.00 keV   1.067E-02  2.350E-02  276.83 um   121.29 um    86.16 um  
  13.00 keV   1.111E-02  2.313E-02  298.97 um   129.39 um    91.95 um  
  14.00 keV   1.153E-02  2.276E-02  321.21 um   137.39 um    97.72 um  
  15.00 keV   1.193E-02  2.241E-02  343.54 um   145.28 um   103.45 um  
  16.00 keV   1.232E-02  2.206E-02  365.96 um   153.08 um   109.16 um  
  17.00 keV   1.270E-02  2.172E-02  388.46 um   160.78 um   114.84 um  
  18.00 keV   1.307E-02  2.140E-02  411.04 um   168.40 um   120.50 um  
  20.00 keV   1.378E-02  2.077E-02  456.43 um   183.35 um   131.78 um  
  22.50 keV   1.461E-02  2.003E-02  513.53 um   201.56 um   145.79 um  
  25.00 keV   1.541E-02  1.936E-02  570.94 um   219.27 um   159.67 um  
  27.50 keV   1.616E-02  1.873E-02  628.60 um   236.51 um   173.44 um  
  30.00 keV   1.688E-02  1.814E-02  686.46 um   253.29 um   187.09 um  
  32.50 keV   1.756E-02  1.760E-02  744.46 um   269.62 um   200.62 um  
  35.00 keV   1.792E-02  1.709E-02  802.83 um   285.67 um   214.02 um  
