 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_mylar.txt.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.787E+01  1.851E+02     326 A       116 A        84 A   
  11.00 keV   9.215E+01  1.818E+02     357 A       125 A        91 A   
  12.00 keV   9.625E+01  1.786E+02     387 A       133 A        97 A   
  13.00 keV   1.002E+02  1.754E+02     417 A       142 A       104 A   
  14.00 keV   1.040E+02  1.723E+02     447 A       150 A       110 A   
  15.00 keV   1.076E+02  1.694E+02     478 A       158 A       116 A   
  16.00 keV   1.111E+02  1.665E+02     508 A       166 A       123 A   
  17.00 keV   1.146E+02  1.637E+02     538 A       174 A       129 A   
  18.00 keV   1.179E+02  1.610E+02     569 A       182 A       135 A   
  20.00 keV   1.243E+02  1.558E+02     630 A       198 A       147 A   
  22.50 keV   1.318E+02  1.499E+02     706 A       216 A       162 A   
  25.00 keV   1.389E+02  1.444E+02     783 A       234 A       177 A   
  27.50 keV   1.457E+02  1.394E+02     859 A       251 A       191 A   
  30.00 keV   1.522E+02  1.348E+02     936 A       268 A       206 A   
  32.50 keV   1.584E+02  1.305E+02    1012 A       284 A       220 A   
  35.00 keV   1.631E+02  1.265E+02    1088 A       300 A       234 A   
  37.50 keV   1.660E+02  1.228E+02    1164 A       315 A       248 A   
  40.00 keV   1.691E+02  1.194E+02    1241 A       330 A       261 A   
  45.00 keV   1.756E+02  1.131E+02    1396 A       359 A       288 A   
