 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  C- F (gas).txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.530E-03  3.967E-02  175.21 um    80.81 um    57.26 um  
  11.00 keV   6.848E-03  3.944E-02  191.06 um    87.24 um    61.64 um  
  12.00 keV   7.153E-03  3.917E-02  206.98 um    93.63 um    65.98 um  
  13.00 keV   7.445E-03  3.888E-02  222.98 um    99.99 um    70.29 um  
  14.00 keV   7.726E-03  3.857E-02  239.07 um   106.32 um    74.57 um  
  15.00 keV   7.997E-03  3.825E-02  255.26 um   112.62 um    78.84 um  
  16.00 keV   8.259E-03  3.792E-02  271.53 um   118.90 um    83.10 um  
  17.00 keV   8.514E-03  3.758E-02  287.91 um   125.16 um    87.34 um  
  18.00 keV   8.760E-03  3.724E-02  304.37 um   131.39 um    91.57 um  
  20.00 keV   9.234E-03  3.657E-02  337.61 um   143.79 um   100.05 um  
  22.50 keV   9.795E-03  3.573E-02  379.70 um   159.18 um   110.65 um  
  25.00 keV   1.032E-02  3.491E-02  422.36 um   174.49 um   121.24 um  
  27.50 keV   1.083E-02  3.412E-02  465.56 um   189.70 um   131.85 um  
  30.00 keV   1.131E-02  3.336E-02  509.30 um   204.81 um   142.49 um  
  32.50 keV   1.177E-02  3.264E-02  553.54 um   219.83 um   153.16 um  
  35.00 keV   1.222E-02  3.194E-02  598.26 um   234.75 um   163.87 um  
