 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Na_mylar.txt

 Ion = Sodium [11] , Mass = 20 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.700E+01  2.761E+02     265 A        95 A        70 A   
  11.00 keV   7.027E+01  2.735E+02     289 A       103 A        75 A   
  12.00 keV   7.340E+01  2.708E+02     313 A       110 A        80 A   
  13.00 keV   7.640E+01  2.680E+02     337 A       117 A        85 A   
  14.00 keV   7.928E+01  2.651E+02     361 A       124 A        90 A   
  15.00 keV   8.206E+01  2.622E+02     385 A       131 A        96 A   
  16.00 keV   8.475E+01  2.592E+02     409 A       139 A       101 A   
  17.00 keV   8.736E+01  2.563E+02     433 A       145 A       106 A   
  18.00 keV   8.990E+01  2.534E+02     457 A       152 A       111 A   
  20.00 keV   9.476E+01  2.478E+02     506 A       166 A       121 A   
  22.50 keV   1.005E+02  2.409E+02     568 A       183 A       133 A   
  25.00 keV   1.059E+02  2.344E+02     631 A       200 A       145 A   
  27.50 keV   1.111E+02  2.283E+02     693 A       216 A       158 A   
  30.00 keV   1.161E+02  2.224E+02     757 A       232 A       170 A   
  32.50 keV   1.208E+02  2.169E+02     820 A       248 A       182 A   
  35.00 keV   1.254E+02  2.116E+02     885 A       264 A       195 A   
  37.50 keV   1.298E+02  2.067E+02     949 A       279 A       207 A   
  40.00 keV   1.340E+02  2.019E+02    1014 A       294 A       219 A   
  45.00 keV   1.425E+02  1.932E+02    1144 A       324 A       243 A   
