! CF4 -> Energy
! 17O (4.5 MeV/u);    Settings on 17O;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	17O[beam]
3.75495	-
3.75574	-
3.75654	-
3.75734	-
3.75814	-
3.75894	-
3.75973	-
3.76053	-
3.76133	-
3.76213	-
3.76292	-
3.76372	1.76797e+09
3.76452	4.54963e+09
3.76532	1.10317e+10
3.76612	1.93639e+10
3.76691	4.13776e+10
3.76771	7.3818e+10
3.76851	1.27112e+11
3.76931	2.25061e+11
3.7701	3.45338e+11
3.7709	6.00719e+11
3.7717	9.41977e+11
3.7725	1.45499e+12
3.7733	2.27858e+12
3.77409	3.25746e+12
3.77489	5.03727e+12
3.77569	7.25459e+12
3.77649	1.0347e+13
3.77728	1.48098e+13
3.77808	1.99579e+13
3.77888	2.81913e+13
3.77968	3.79075e+13
3.78048	5.05891e+13
3.78127	6.73876e+13
3.78207	8.62445e+13
3.78287	1.13371e+14
3.78367	1.44062e+14
3.78446	1.81883e+14
3.78526	2.2861e+14
3.78606	2.79789e+14
3.78686	3.47071e+14
3.78766	4.20582e+14
3.78845	5.06549e+14
3.78925	6.06376e+14
3.79005	7.13132e+14
3.79085	8.41919e+14
3.79164	9.78036e+14
3.79244	1.12882e+15
3.79324	1.29314e+15
3.79404	1.46422e+15
3.79484	1.65198e+15
3.79563	1.84339e+15
3.79643	2.04212e+15
3.79723	2.24308e+15
3.79803	2.44515e+15
3.79882	2.64137e+15
3.79962	2.83225e+15
3.80042	3.01246e+15
3.80122	3.17519e+15
3.80202	3.32916e+15
3.80281	3.44752e+15
3.80361	3.55147e+15
3.80441	3.62662e+15
3.80521	3.66963e+15
3.806	3.69658e+15
3.8068	3.67348e+15
3.8076	3.63421e+15
3.8084	3.56259e+15
3.8092	3.46176e+15
3.80999	3.34633e+15
3.81079	3.19448e+15
3.81159	3.03359e+15
3.81239	2.85462e+15
3.81318	2.66439e+15
3.81398	2.46854e+15
3.81478	2.26605e+15
3.81558	2.06447e+15
3.81638	1.86471e+15
3.81717	1.67199e+15
3.81797	1.48279e+15
3.81877	1.31003e+15
3.81957	1.14402e+15
3.82036	9.91518e+14
3.82116	8.53736e+14
3.82196	7.23313e+14
3.82276	6.15098e+14
3.82356	5.13888e+14
3.82435	4.26689e+14
3.82515	3.52107e+14
3.82595	2.83834e+14
3.82675	2.31892e+14
3.82754	1.84469e+14
3.82834	1.46085e+14
3.82914	1.14941e+14
3.82994	8.74156e+13
3.83074	6.82877e+13
3.83153	5.12496e+13
3.83233	3.83912e+13
3.83313	2.85424e+13
3.83393	2.01985e+13
3.83472	1.49842e+13
3.83552	1.04646e+13
3.83632	7.33444e+12
3.83712	5.09079e+12
3.83792	3.2904e+12
3.83871	2.3009e+12
3.83951	1.46849e+12
3.84031	9.50298e+11
3.84111	6.05733e+11
3.8419	3.47982e+11
3.8427	2.26696e+11
3.8435	1.27943e+11
3.8443	7.42563e+10
3.8451	4.1594e+10
3.84589	1.94439e+10
3.84669	1.1072e+10
3.84749	4.56088e+09
3.84829	1.77119e+09
3.84908	-
3.84988	-
3.85068	-
3.85148	-
3.85228	-
3.85307	-
3.85387	-
3.85467	-
3.85547	-
3.85626	-
