! IC_gas_CF4 -> Energy
! 17O (4.5 MeV/u);    Settings on 17O;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	17O[beam]
3.71619	-
3.71701	-
3.71783	-
3.71864	-
3.71946	-
3.72027	-
3.72109	-
3.72191	-
3.72272	-
3.72354	-
3.72435	-
3.72517	1.70177e+09
3.72599	4.37996e+09
3.7268	1.06092e+10
3.72762	1.8614e+10
3.72843	3.9694e+10
3.72925	7.06978e+10
3.73007	1.21549e+11
3.73088	2.14753e+11
3.7317	3.29133e+11
3.73251	5.71317e+11
3.73333	8.94623e+11
3.73415	1.38018e+12
3.73496	2.15907e+12
3.73578	3.08465e+12
3.73659	4.76761e+12
3.73741	6.86532e+12
3.73822	9.79253e+12
3.73904	1.40234e+13
3.73986	1.89061e+13
3.74067	2.67362e+13
3.74149	3.59893e+13
3.7423	4.80886e+13
3.74312	6.41589e+13
3.74394	8.22147e+13
3.74475	1.08327e+14
3.74557	1.37896e+14
3.74638	1.74375e+14
3.7472	2.19554e+14
3.74802	2.69083e+14
3.74883	3.34397e+14
3.74965	4.05836e+14
3.75046	4.89525e+14
3.75128	5.86879e+14
3.7521	6.91066e+14
3.75291	8.17032e+14
3.75373	9.50265e+14
3.75454	1.09803e+15
3.75536	1.25926e+15
3.75618	1.42721e+15
3.75699	1.6118e+15
3.75781	1.80007e+15
3.75862	1.9957e+15
3.75944	2.19367e+15
3.76026	2.39281e+15
3.76107	2.58634e+15
3.76189	2.77465e+15
3.7627	2.95253e+15
3.76352	3.11319e+15
3.76434	3.26525e+15
3.76515	3.38216e+15
3.76597	3.48484e+15
3.76678	3.55905e+15
3.7676	3.60149e+15
3.76841	3.62805e+15
3.76923	3.60513e+15
3.77005	3.56622e+15
3.77086	3.49534e+15
3.77168	3.39561e+15
3.77249	3.28147e+15
3.77331	3.13142e+15
3.77413	2.97249e+15
3.77494	2.79578e+15
3.77576	2.60808e+15
3.77657	2.41489e+15
3.77739	2.21535e+15
3.77821	2.01679e+15
3.77902	1.82018e+15
3.77984	1.63067e+15
3.78065	1.4447e+15
3.78147	1.27517e+15
3.78229	1.11234e+15
3.7831	9.62947e+14
3.78392	8.2814e+14
3.78473	7.00628e+14
3.78555	5.95065e+14
3.78637	4.96406e+14
3.78718	4.11558e+14
3.788	3.3911e+14
3.78881	2.72864e+14
3.78963	2.22619e+14
3.79045	1.76787e+14
3.79126	1.3978e+14
3.79208	1.09788e+14
3.79289	8.33026e+13
3.79371	6.49945e+13
3.79453	4.87012e+13
3.79534	3.64376e+13
3.79616	2.70613e+13
3.79697	1.91287e+13
3.79779	1.41847e+13
3.7986	9.90134e+12
3.79942	6.93915e+12
3.80024	4.81709e+12
3.80105	3.1151e+12
3.80187	2.17971e+12
3.80268	1.39266e+12
3.8035	9.02321e+11
3.80432	5.75956e+11
3.80513	3.3158e+11
3.80595	2.16266e+11
3.80676	1.22318e+11
3.80758	7.11031e+10
3.8084	3.98939e+10
3.80921	1.86877e+10
3.81003	1.06463e+10
3.81084	4.39017e+09
3.81166	1.70467e+09
3.81248	-
3.81329	-
3.81411	-
3.81492	-
3.81574	-
3.81656	-
3.81737	-
3.81819	-
3.819	-
3.81982	-
