! CF4 -> Energy
! 20Mg (6 MeV/u);    Settings on 20Mg;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	20Mg[beam]
4.9185	-
4.91953	-
4.92055	-
4.92158	-
4.92261	-
4.92364	-
4.92467	-
4.9257	-
4.92672	-
4.92775	-
4.92878	-
4.92981	7.65497e+08
4.93084	1.7655e+09
4.93187	4.82009e+09
4.93289	8.90197e+09
4.93392	2.01494e+10
4.93495	3.697e+10 
4.93598	6.49369e+10
4.93701	1.17108e+11
4.93804	1.81382e+11
4.93906	3.1953e+11
4.94009	5.04833e+11
4.94112	7.84443e+11
4.94215	1.23459e+12
4.94318	1.77e+12  
4.94421	2.74356e+12
4.94523	3.95481e+12
4.94626	5.64147e+12
4.94729	8.06567e+12
4.94832	1.08587e+13
4.94935	1.52933e+13
4.95037	2.05072e+13
4.9514	2.72796e+13
4.95243	3.61884e+13
4.95346	4.61653e+13
4.95449	6.03809e+13
4.95552	7.64028e+13
4.95654	9.60374e+13
4.95757	1.20138e+14
4.9586	1.46471e+14
4.95963	1.80802e+14
4.96066	2.18199e+14
4.96169	2.61729e+14
4.96271	3.12024e+14
4.96374	3.65702e+14
4.96477	4.30035e+14
4.9658	4.97878e+14
4.96683	5.72741e+14
4.96786	6.53999e+14
4.96888	7.38455e+14
4.96991	8.30628e+14
4.97094	9.24421e+14
4.97197	1.02146e+15
4.973	1.11923e+15
4.97403	1.21736e+15
4.97505	1.31212e+15
4.97608	1.40414e+15
4.97711	1.49065e+15
4.97814	1.56841e+15
4.97917	1.6418e+15
4.9802	1.69765e+15
4.98122	1.74646e+15
4.98225	1.78123e+15
4.98328	1.80044e+15
4.98431	1.81187e+15
4.98534	1.79919e+15
4.98637	1.77876e+15
4.98739	1.7428e+15
4.98842	1.69289e+15
4.98945	1.63599e+15
4.99048	1.56173e+15
4.99151	1.48317e+15
4.99253	1.39601e+15
4.99356	1.3035e+15
4.99459	1.20833e+15
4.99562	1.11003e+15
4.99665	1.01218e+15
4.99768	9.1521e+14
4.9987	8.2163e+14
4.99973	7.29743e+14
5.00076	6.45758e+14
5.00179	5.65014e+14
5.00282	4.90756e+14
5.00385	4.23565e+14
5.00487	3.59909e+14
5.0059	3.06915e+14
5.00693	2.57289e+14
5.00796	2.14397e+14
5.00899	1.77584e+14
5.01002	1.43809e+14
5.01104	1.17933e+14
5.01207	9.42562e+13
5.0131	7.49774e+13
5.01413	5.92504e+13
5.01516	4.52993e+13
5.01619	3.55111e+13
5.01721	2.67711e+13
5.01824	2.01275e+13
5.01927	1.50127e+13
5.0203	1.06622e+13
5.02133	7.92163e+12
5.02236	5.5427e+12
5.02338	3.88698e+12
5.02441	2.69754e+12
5.02544	1.74125e+12
5.02647	1.21494e+12
5.0275	7.72385e+11
5.02852	4.97339e+11
5.02955	3.14982e+11
5.03058	1.7897e+11
5.03161	1.15618e+11
5.03264	6.418e+10 
5.03367	3.65726e+10
5.03469	1.99544e+10
5.03572	8.8307e+09
5.03675	4.78439e+09
5.03778	1.75566e+09
5.03881	7.62111e+08
5.03984	-
5.04086	-
5.04189	-
5.04292	-
5.04395	-
5.04498	-
5.04601	-
5.04703	-
5.04806	-
5.04909	-
