! IC_gas_CF4 -> Energy
! 20Mg (6 MeV/u);    Settings on 20Mg;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	20Mg[beam]
4.86183	-
4.86288	-
4.86393	-
4.86498	-
4.86603	-
4.86708	-
4.86813	-
4.86918	-
4.87023	-
4.87129	-
4.87234	-
4.87339	7.31683e+08
4.87444	1.67975e+09
4.87549	4.56881e+09
4.87654	8.42836e+09
4.87759	1.90047e+10
4.87864	3.4779e+10
4.87969	6.09489e+10
4.88074	1.09612e+11
4.88179	1.69522e+11
4.88284	2.97947e+11
4.88389	4.70089e+11
4.88494	7.29667e+11
4.88599	1.14755e+12
4.88704	1.64459e+12
4.88809	2.5495e+12
4.88914	3.67656e+12
4.89019	5.24793e+12
4.89124	7.5121e+12
4.89229	1.01227e+13
4.89334	1.4284e+13
4.89439	1.9186e+13
4.89544	2.55691e+13
4.89649	3.39946e+13
4.89754	4.34414e+13
4.89859	5.6964e+13
4.89964	7.22328e+13
4.90069	9.09939e+13
4.90174	1.14093e+14
4.90279	1.39361e+14
4.90384	1.72432e+14
4.90489	2.08507e+14
4.90594	2.50592e+14
4.90699	2.99331e+14
4.90804	3.51398e+14
4.90909	4.13996e+14
4.91014	4.8008e+14
4.91119	5.53138e+14
4.91224	6.32593e+14
4.91329	7.15245e+14
4.91434	8.05698e+14
4.91539	8.9783e+14
4.91644	9.93317e+14
4.91749	1.08971e+15
4.91854	1.18655e+15
4.91959	1.28034e+15
4.92064	1.3715e+15
4.92169	1.45741e+15
4.92274	1.53484e+15
4.92379	1.60802e+15
4.92484	1.66405e+15
4.92589	1.71317e+15
4.92694	1.74848e+15
4.92799	1.76845e+15
4.92904	1.78073e+15
4.93009	1.76916e+15
4.93114	1.74989e+15
4.93219	1.71523e+15
4.93324	1.66669e+15
4.93429	1.6112e+15
4.93534	1.5384e+15
4.93639	1.46131e+15
4.93744	1.37561e+15
4.93849	1.28456e+15
4.93954	1.19082e+15
4.94059	1.09389e+15
4.94164	9.9737e+14
4.94269	9.0168e+14
4.94374	8.09297e+14
4.94479	7.18567e+14
4.94584	6.35602e+14
4.94689	5.55834e+14
4.94794	4.82458e+14
4.94899	4.1607e+14
4.95004	3.53174e+14
4.95109	3.00845e+14
4.95214	2.51858e+14
4.95319	2.09556e+14
4.95424	1.73291e+14
4.95529	1.40046e+14
4.95634	1.14646e+14
4.95739	9.14272e+13
4.95844	7.25698e+13
4.95949	5.72239e+13
4.96054	4.36339e+13
4.96159	3.41418e+13
4.96264	2.56764e+13
4.96369	1.92641e+13
4.96474	1.43404e+13
4.96579	1.0161e+13
4.96685	7.53973e+12
4.9679	5.26643e+12
4.96895	3.68903e+12
4.97	2.55779e+12
4.97105	1.64965e+12
4.9721	1.15095e+12
4.97315	7.317e+11 
4.9742	4.71327e+11
4.97525	2.98682e+11
4.9763	1.69901e+11
4.97735	1.09843e+11
4.9784	6.10623e+10
4.97945	3.48367e+10
4.9805	1.90318e+10
4.98155	8.43726e+09
4.9826	4.57301e+09
4.98365	1.68062e+09
4.9847	7.31941e+08
4.98575	-
4.9868	-
4.98785	-
4.9889	-
4.98995	-
4.991	-
4.99205	-
4.9931	-
4.99415	-
4.9952	-
4.99625	-
