! IC_gas_CF4 -> Energy
! 20Na (6 MeV/u);    Settings on 20Na;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	20Na[beam]
5.02204	-
5.02305	-
5.02405	-
5.02506	-
5.02606	-
5.02707	-
5.02807	-
5.02908	-
5.03008	-
5.03108	-
5.03209	-
5.03309	8.01977e+08
5.0341	1.85818e+09
5.0351	5.0882e+09
5.03611	9.40513e+09
5.03711	2.13556e+10
5.03812	3.92694e+10
5.03912	6.91098e+10
5.04013	1.24928e+11
5.04113	1.93736e+11
5.04214	3.41942e+11
5.04314	5.40813e+11
5.04414	8.41017e+11
5.04515	1.3241e+12
5.04615	1.89862e+12
5.04716	2.94136e+12
5.04816	4.2369e+12
5.04917	6.03802e+12
5.05017	8.61886e+12
5.05118	1.15896e+13
5.05218	1.62844e+13
5.05319	2.17917e+13
5.05419	2.8924e+13
5.0552	3.82537e+13
5.0562	4.86821e+13
5.0572	6.349e+13 
5.05821	8.01449e+13
5.05921	1.00494e+14
5.06022	1.25385e+14
5.06122	1.52548e+14
5.06223	1.87812e+14
5.06323	2.26171e+14
5.06424	2.70719e+14
5.06524	3.22072e+14
5.06625	3.76827e+14
5.06725	4.42269e+14
5.06826	5.11222e+14
5.06926	5.87194e+14
5.07027	6.6954e+14
5.07127	7.55074e+14
5.07227	8.4827e+14
5.07328	9.43064e+14
5.07428	1.04106e+15
5.07529	1.13974e+15
5.07629	1.23876e+15
5.0773	1.33436e+15
5.0783	1.42721e+15
5.07931	1.51453e+15
5.08031	1.5931e+15
5.08132	1.66731e+15
5.08232	1.72399e+15
5.08333	1.77365e+15
5.08433	1.80928e+15
5.08533	1.82935e+15
5.08634	1.84164e+15
5.08734	1.82979e+15
5.08835	1.81015e+15
5.08935	1.77492e+15
5.09036	1.7256e+15
5.09136	1.66924e+15
5.09237	1.59525e+15
5.09337	1.51685e+15
5.09438	1.42963e+15
5.09538	1.33682e+15
5.09639	1.24121e+15
5.09739	1.14209e+15
5.09839	1.04329e+15
5.0994	9.45146e+14
5.1004	8.50171e+14
5.10141	7.56782e+14
5.10241	6.71045e+14
5.10342	5.88498e+14
5.10442	5.12331e+14
5.10543	4.432e+14 
5.10643	3.77586e+14
5.10744	3.22689e+14
5.10844	2.71205e+14
5.10945	2.26547e+14
5.11045	1.88098e+14
5.11146	1.52754e+14
5.11246	1.25537e+14
5.11346	1.00597e+14
5.11447	8.02139e+13
5.11547	6.3534e+13
5.11648	4.87059e+13
5.11748	3.82671e+13
5.11849	2.89288e+13
5.11949	2.1792e+13
5.1205	1.62822e+13
5.1215	1.1586e+13
5.12251	8.61542e+12
5.12351	6.03481e+12
5.12452	4.23424e+12
5.12552	2.93926e+12
5.12652	1.89707e+12
5.12753	1.32297e+12
5.12853	8.40248e+11
5.12954	5.40304e+11
5.13054	3.41613e+11
5.13155	1.93547e+11
5.13255	1.24808e+11
5.13356	6.90448e+10
5.13456	3.92335e+10
5.13557	2.13368e+10
5.13657	9.39749e+09
5.13758	5.08418e+09
5.13858	1.85686e+09
5.13958	8.01503e+08
5.14059	-
5.14159	-
5.1426	-
5.1436	-
5.14461	-
5.14561	-
5.14662	-
5.14762	-
5.14863	-
5.14963	-
