====== F (800) into ACTAR_gas                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  F   Energy = 57800 keV
============= TARGET MATERIAL ======================================
Layer 1 : ACTAR_gas
Layer Width = 25600.E+05 A ;
  Layer # 1- Density = 4.481E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  H = 19.2 Atomic Percent = 10.4 Mass Percent
  Layer # 1-  C = 7.69 Atomic Percent = 49.8 Mass Percent
  Layer # 1-  H = 73.0 Atomic Percent = 39.7 Mass Percent
====================================================================
 Total Ions calculated =000100.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
256000.E+02  1783.76E-05  5016.39E-09
512000.E+02  1786.81E-05  3279.89E-09
768000.E+02  1809.91E-05  1646.84E-09
102400.E+03  1808.11E-05  4423.11E-09
128000.E+03  1814.64E-05  1627.46E-09
153600.E+03  1830.96E-05  4424.18E-09
179200.E+03  1844.62E-05  2278.62E-09
204800.E+03  1847.61E-05  4184.67E-09
230400.E+03  1866.10E-05  2975.42E-09
256000.E+03  1876.64E-05  2015.40E-09
281600.E+03  1880.74E-05  1831.15E-09
307200.E+03  1892.64E-05  5411.03E-09
332800.E+03  1912.32E-05  8804.71E-10
358400.E+03  1924.28E-05  6335.65E-09
384000.E+03  1927.86E-05  1937.44E-09
409600.E+03  1939.27E-05  1641.35E-09
435200.E+03  1951.91E-05  3415.85E-09
460800.E+03  1976.67E-05  1018.89E-09
486400.E+03  1981.96E-05  3601.84E-09
512000.E+03  1999.98E-05  3347.21E-09
537600.E+03  2014.65E-05  8106.23E-09
563200.E+03  2025.73E-05  3914.57E-09
588800.E+03  2031.92E-05  1243.40E-09
614400.E+03  2040.49E-05  7177.21E-09
640000.E+03  2060.95E-05  1925.30E-09
665600.E+03  2079.41E-05  1459.37E-09
691200.E+03  2097.68E-05  4669.46E-09
716800.E+03  2113.30E-05  1222.58E-08
742400.E+03  2130.20E-05  3504.57E-09
768000.E+03  2153.58E-05  6663.73E-09
793600.E+03  2162.19E-05  3809.46E-09
819200.E+03  2192.01E-05  1505.61E-09
844800.E+03  2208.39E-05  3570.30E-09
870400.E+03  2217.67E-05  4745.03E-09
896000.E+03  2249.85E-05  2479.24E-09
921600.E+03  2268.93E-05  3107.92E-09
947200.E+03  2294.29E-05  2848.10E-09
972800.E+03  2312.24E-05  3584.61E-08
998400.E+03  2341.22E-05  7875.48E-09
102400.E+04  2359.29E-05  3448.74E-09
104960.E+04  2381.91E-05  4151.51E-09
107520.E+04  2423.23E-05  4066.22E-09
110080.E+04  2433.64E-05  1489.36E-08
112640.E+04  2454.96E-05  5075.38E-09
115200.E+04  2482.66E-05  3477.89E-09
117760.E+04  2509.00E-05  4596.30E-09
120320.E+04  2542.05E-05  3829.88E-09
122880.E+04  2568.63E-05  3764.07E-08
125440.E+04  2604.94E-05  2107.63E-08
128000.E+04  2642.21E-05  1862.41E-08
130560.E+04  2676.74E-05  2133.82E-08
133120.E+04  2723.34E-05  5480.14E-09
135680.E+04  2744.56E-05  1008.64E-08
138240.E+04  2788.07E-05  7442.54E-09
140800.E+04  2852.17E-05  7836.74E-09
143360.E+04  2881.89E-05  1176.44E-08
145920.E+04  2935.29E-05  5852.63E-09
148480.E+04  2977.56E-05  9754.62E-09
151040.E+04  3046.85E-05  3566.08E-09
153600.E+04  3088.89E-05  8349.34E-09
156160.E+04  3153.78E-05  3521.99E-09
158720.E+04  3223.82E-05  2137.05E-08
161280.E+04  3285.91E-05  1347.19E-07
163840.E+04  3357.39E-05  8789.87E-09
166400.E+04  3432.25E-05  9288.39E-09
168960.E+04  3511.06E-05  1675.27E-08
171520.E+04  3599.84E-05  4859.41E-08
174080.E+04  3694.19E-05  1501.63E-08
176640.E+04  3797.24E-05  1550.69E-08
179200.E+04  3911.21E-05  1487.88E-08
181760.E+04  4046.79E-05  6837.11E-08
184320.E+04  4183.18E-05  1709.34E-08
186880.E+04  4350.52E-05  1351.62E-08
189440.E+04  4540.12E-05  1667.61E-08
192000.E+04  4762.25E-05  9049.34E-08
194560.E+04  5027.93E-05  2898.94E-08
197120.E+04  5260.53E-05  3056.43E-08
199680.E+04  5403.73E-05  4083.11E-08
202240.E+04  5161.93E-05  5072.02E-08
204800.E+04  4374.49E-05  5521.47E-08
207360.E+04  3229.25E-05  1339.90E-07
209920.E+04  2295.52E-05  1937.78E-07
212480.E+04  1679.07E-05  3725.52E-07
215040.E+04  1002.14E-05  9696.56E-07
217600.E+04  1937.60E-06  7785.61E-07
220160.E+04  3216.16E-10  3814.00E-10
222720.E+04  0000.00E+00  0000.00E+00
225280.E+04  0000.00E+00  0000.00E+00
227840.E+04  0000.00E+00  0000.00E+00
230400.E+04  0000.00E+00  0000.00E+00
232960.E+04  0000.00E+00  0000.00E+00
235520.E+04  0000.00E+00  0000.00E+00
238080.E+04  0000.00E+00  0000.00E+00
240640.E+04  0000.00E+00  0000.00E+00
243200.E+04  0000.00E+00  0000.00E+00
245760.E+04  0000.00E+00  0000.00E+00
248320.E+04  0000.00E+00  0000.00E+00
250880.E+04  0000.00E+00  0000.00E+00
253440.E+04  0000.00E+00  0000.00E+00
256000.E+04  0000.00E+00  0000.00E+00
