 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_70mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.866E-03  2.741E-02  215.60 um    99.84 um    70.61 um  
  11.00 keV   9.298E-03  2.706E-02  235.84 um   107.86 um    76.18 um  
  12.00 keV   9.712E-03  2.669E-02  256.19 um   115.79 um    81.71 um  
  13.00 keV   1.011E-02  2.633E-02  276.65 um   123.64 um    87.21 um  
  14.00 keV   1.049E-02  2.596E-02  297.22 um   131.41 um    92.69 um  
  15.00 keV   1.086E-02  2.561E-02  317.90 um   139.11 um    98.14 um  
  16.00 keV   1.121E-02  2.525E-02  338.68 um   146.74 um   103.57 um  
  17.00 keV   1.156E-02  2.491E-02  359.56 um   154.30 um   108.99 um  
  18.00 keV   1.189E-02  2.457E-02  380.54 um   161.79 um   114.39 um  
  20.00 keV   1.254E-02  2.391E-02  422.80 um   176.56 um   125.19 um  
  22.50 keV   1.330E-02  2.314E-02  476.10 um   194.66 um   138.64 um  
  25.00 keV   1.402E-02  2.242E-02  529.87 um   212.40 um   152.02 um  
  27.50 keV   1.470E-02  2.174E-02  584.04 um   229.78 um   165.36 um  
  30.00 keV   1.536E-02  2.111E-02  638.57 um   246.80 um   178.64 um  
  32.50 keV   1.598E-02  2.052E-02  693.40 um   263.48 um   191.87 um  
  35.00 keV   1.689E-02  1.996E-02  748.25 um   279.68 um   205.06 um  
