 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 30, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_700mbar.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.4000E-04 g/cm3 = 4.5470E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 35.51%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.390E-02  4.866E-02  152.89 um    28.07 um    22.76 um  
  11.00 keV   2.507E-02  4.799E-02  165.82 um    30.00 um    24.34 um  
  12.00 keV   2.618E-02  4.730E-02  178.68 um    31.88 um    25.90 um  
  13.00 keV   2.725E-02  4.662E-02  191.50 um    33.72 um    27.43 um  
  14.00 keV   2.828E-02  4.594E-02  204.27 um    35.51 um    28.93 um  
  15.00 keV   2.927E-02  4.528E-02  217.00 um    37.26 um    30.42 um  
  16.00 keV   3.023E-02  4.462E-02  229.69 um    38.97 um    31.88 um  
  17.00 keV   3.116E-02  4.399E-02  242.35 um    40.65 um    33.32 um  
  18.00 keV   3.206E-02  4.336E-02  254.97 um    42.30 um    34.75 um  
  20.00 keV   3.380E-02  4.216E-02  280.13 um    45.56 um    37.55 um  
  22.50 keV   3.585E-02  4.075E-02  311.40 um    49.49 um    40.97 um  
  25.00 keV   3.778E-02  3.944E-02  342.47 um    53.24 um    44.30 um  
  27.50 keV   3.963E-02  3.821E-02  373.36 um    56.82 um    47.55 um  
  30.00 keV   4.139E-02  3.707E-02  404.05 um    60.26 um    50.73 um  
  32.50 keV   4.308E-02  3.601E-02  434.54 um    63.56 um    53.84 um  
  35.00 keV   4.470E-02  3.501E-02  464.84 um    66.73 um    56.89 um  
