 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_760mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.5030E-04 g/cm3 = 4.8816E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.003E-02  5.079E-02  149.53 um    29.10 um    23.17 um  
  11.00 keV   2.101E-02  4.999E-02  162.71 um    31.22 um    24.87 um  
  12.00 keV   2.195E-02  4.920E-02  175.89 um    33.30 um    26.55 um  
  13.00 keV   2.284E-02  4.841E-02  189.06 um    35.34 um    28.21 um  
  14.00 keV   2.370E-02  4.764E-02  202.23 um    37.35 um    29.84 um  
  15.00 keV   2.454E-02  4.689E-02  215.41 um    39.31 um    31.47 um  
  16.00 keV   2.534E-02  4.615E-02  228.60 um    41.25 um    33.07 um  
  17.00 keV   2.612E-02  4.544E-02  241.79 um    43.15 um    34.67 um  
  18.00 keV   2.688E-02  4.474E-02  254.98 um    45.03 um    36.24 um  
  20.00 keV   2.833E-02  4.342E-02  281.38 um    48.75 um    39.37 um  
  22.50 keV   3.005E-02  4.187E-02  314.38 um    53.27 um    43.21 um  
  25.00 keV   3.168E-02  4.044E-02  347.37 um    57.61 um    46.99 um  
  27.50 keV   3.322E-02  3.911E-02  380.33 um    61.80 um    50.71 um  
  30.00 keV   3.470E-02  3.788E-02  413.25 um    65.84 um    54.37 um  
  32.50 keV   3.612E-02  3.674E-02  446.10 um    69.75 um    57.97 um  
  35.00 keV   3.867E-02  3.567E-02  478.60 um    73.47 um    61.51 um  
