============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   13  9 .4919360E+08   4561630E+02 -.3454E+06 -.8062E+05   .9999915 -.0041161 -.0001248
T   14  9 .5644298E+08   4561631E+02  .1266E+07 -.1121E+07   .9999998  .0002222 -.0006189
T   15  9 .5652760E+08   4561630E+02 -.4188E+06  .1517E+07   .9999647  .0015873  .0082473
T   16  9 .5648436E+08   4561631E+02  .6428E+06 -.3795E+06   .9999954  .0001091  .0030365
T   17  9 .5666664E+08   4561631E+02  .7476E+06  .1615E+06   .9999967  .0004455  .0025118
T   18  9 .5656823E+08   4561630E+02 -.6411E+06  .9007E+06   .9999999 -.0001855  .0002858
T   19  9 .5678331E+08   4561630E+02  .6583E+06 -.1713E+07   .9999742  .0071391  .0007857
T   20  9 .5667215E+08   4561631E+02 -.8685E+06 -.9351E+06   .9999860 -.0013661 -.0051173
T   21  9 .5677731E+08   4561630E+02 -.3216E+06 -.1001E+07   .9999957 -.0013954 -.0025651
T   22  9 .5644654E+08   4561630E+02 -.1255E+07 -.2213E+07   .9999847 -.0027748 -.0047865
T   23  9 .5663167E+08   4561631E+02 -.3221E+07  .6381E+06   .9999276 -.0114918  .0035727
T   24  9 .5637031E+08   4561630E+02 -.2147E+07  .1707E+07   .9999689 -.0065954  .0043252
T   25  9 .5667825E+08   4561630E+02 -.1010E+07 -.1724E+07   .9999898 -.0003981 -.0045076
T   26  9 .5652762E+08   4561630E+02  .1776E+07 -.7977E+06   .9999774  .0033177 -.0058428
T   27  9 .5640454E+08   4561631E+02  .7286E+06 -.1081E+07   .9999979 -.0003516 -.0020372
T   28  9 .5661297E+08   4561630E+02 -.1736E+07 -.4440E+07   .9999304 -.0051510 -.0106177
T   29  9 .5681349E+08   4561630E+02  .1243E+07 -.1273E+07   .9999597  .0060766 -.0066029
T   30  9 .5609557E+08   4561630E+02 -.2302E+07 -.1333E+07   .9999773 -.0064124 -.0020510
T   31  9 .5635488E+08   4561631E+02  .9484E+06 -.1444E+06   .9999890  .0046596 -.0005398
T   32  9 .5624637E+08   4561630E+02  .3503E+06  .1758E+06   .9999941 -.0027473  .0020420
T   33  9 .5630513E+08   4561630E+02  .7707E+07  .3004E+07   .9998327  .0174131  .0055976
T   34  9 .5651509E+08   4561630E+02 -.1518E+07 -.1970E+06   .9999977 -.0020479  .0006809
T   35  9 .5640508E+08   4561631E+02  .1262E+07  .5658E+06   .9999938  .0035103 -.0002750
T   36  9 .5658992E+08   4561631E+02 -.5369E+06 -.1819E+07   .9999902 -.0004007 -.0044029
T   37  9 .5647740E+08   4561630E+02  .3649E+06  .8263E+06   .9999910 -.0005250  .0042120
T   38  9 .5638452E+08   4561630E+02 -.5526E+06  .1081E+07   .9999865 -.0034259  .0039176
T   39  9 .5672075E+08   4561630E+02  .3781E+07  .2126E+07   .9999491  .0080268  .0061051
T   40  9 .5650113E+08   4561630E+02 -.1267E+07  .3537E+07   .9999741 -.0061641  .0037187
T   41  9 .5660735E+08   4561630E+02  .1395E+07  .7393E+06   .9999987  .0014500 -.0006648
T   42  9 .5643022E+08   4561631E+02  .4307E+06  .9121E+06   .9999847 -.0054895  .0006623
T   43  9 .5669384E+08   4561630E+02  .1786E+07  .8144E+06   .9999905  .0026553  .0034425
T   44  9 .5641215E+08   4561631E+02  .3926E+07 -.7317E+05   .9999444  .0104849  .0010833
T   45  9 .5686226E+08   4561630E+02  .1070E+06 -.2233E+07   .9999559  .0024720 -.0090584
T   46  9 .5673398E+08   4561630E+02 -.2309E+07  .8090E+06   .9999302 -.0117976 -.0006734
T   47  9 .5633329E+08   4561630E+02  .8776E+06  .1928E+07   .9999920  .0028262  .0028216
T   48  9 .5642331E+08   4561631E+02 -.1891E+07  .1947E+07   .9999735 -.0050182  .0052679
T   49  9 .5653581E+08   4561630E+02 -.6815E+06 -.6162E+06   .9999965 -.0026102  .0004032
T   50  9 .5667652E+08   4561630E+02 -.1537E+07  .1774E+07   .9999803 -.0052279  .0034668
T   51  9 .5643504E+08   4561630E+02  .1557E+07  .2453E+07   .9999687  .0047096  .0063572
T   52  9 .5653212E+08   4561630E+02  .1519E+07 -.1399E+07   .9999865  .0005396 -.0051624
T   53  9 .5646322E+08   4561630E+02  .2615E+07 -.1291E+07   .9999623  .0078296 -.0037444
T   54  9 .5658952E+08   4561630E+02 -.6245E+06  .1955E+05   .9999998  .0006806 -.0000755
T   55  9 .5647366E+08   4561630E+02  .4421E+06 -.1874E+07   .9999991 -.0004742 -.0012901
T   56  9 .5639555E+08   4561631E+02  .5037E+06  .2544E+07   .9999661  .0044984  .0068899
T   57  9 .5649006E+08   4561630E+02 -.1704E+07  .2936E+07   .9999617 -.0031821  .0081489
T   58  9 .5653869E+08   4561630E+02  .1707E+07 -.3063E+07   .9999811  .0039620 -.0047033
T   59  9 .5660600E+08   4561630E+02 -.2437E+06  .2731E+07   .9999556  .0043643  .0083496
T   60  9 .5655771E+08   4561630E+02 -.1219E+07  .1032E+07   .9999771 -.0047530 -.0048106
T   61  9 .5625289E+08   4561630E+02 -.1687E+07  .2278E+07   .9999846 -.0013711  .0053813
T   62  9 .5647926E+08   4561631E+02  .3932E+06 -.1990E+07   .9999746 -.0008306 -.0070736
T   63  9 .5672150E+08   4561630E+02 -.1805E+07  .2443E+07   .9999857 -.0038574  .0036937
T   64  9 .5659085E+08   4561631E+02 -.3510E+07  .1809E+07   .9999685 -.0072537  .0032068
T   65  9 .5664884E+08   4561630E+02 -.6953E+06 -.7529E+05   .9999988 -.0014872  .0004207
T   66  9 .5658254E+08   4561630E+02 -.3486E+07 -.5492E+06   .9999612 -.0084149  .0025925
T   67  9 .5642946E+08   4561630E+02 -.1890E+07 -.8489E+06   .9999945 -.0032947 -.0004671
T   68  9 .5668550E+08   4561631E+02  .2077E+07 -.1739E+07   .9999700  .0066509 -.0039737
T   69  9 .5660404E+08   4561630E+02  .1946E+07  .1830E+07   .9999538  .0066621  .0069285
T   70  9 .5660261E+08   4561631E+02 -.1440E+07 -.1774E+07   .9999691 -.0022606 -.0075311
T   71  9 .5649992E+08   4561631E+02 -.3501E+07 -.1974E+07   .9999458 -.0100247 -.0028042
T   72  9 .5649298E+08   4561630E+02  .6190E+06 -.2055E+07   .9999744  .0047297 -.0053646
T   73  9 .5653688E+08   4561631E+02  .1242E+07 -.4974E+05   .9999996  .0006538  .0005554
T   74  9 .5651026E+08   4561631E+02  .1247E+06 -.1905E+07   .9999578  .0018903 -.0089856
T   75  9 .5628088E+08   4561630E+02  .1875E+07  .1349E+07   .9999781  .0031195  .0058307
T   76  9 .5633748E+08   4561630E+02 -.1094E+07  .2725E+06   .9999907 -.0040169 -.0015991
T   77  9 .5648505E+08   4561630E+02 -.4031E+06  .6938E+06   .9999966 -.0018318  .0018630
T   78  9 .5640992E+08   4561631E+02  .2069E+07 -.1216E+07   .9999872  .0021480 -.0045861
T   79  9 .5642447E+08   4561630E+02  .1477E+07  .1297E+07   .9999974  .0020938  .0009408
T   80  9 .5658524E+08   4561630E+02  .2018E+06 -.3402E+07   .9999705  .0007889 -.0076387
T   81  9 .5655394E+08   4561630E+02  .2695E+07 -.1486E+07   .9999838  .0054599 -.0015974
T   82  9 .5663542E+08   4561631E+02 -.3716E+07  .1940E+07   .9999754 -.0053510  .0045433
T   83  9 .5660917E+08   4561630E+02 -.1153E+07 -.1590E+07   .9998927 -.0140251 -.0042225
T   84  9 .5668603E+08   4561630E+02  .5429E+06 -.2130E+07   .9999878  .0011333 -.0048051
T   85  9 .5647603E+08   4561630E+02 -.4951E+06  .2783E+07   .9999815 -.0010750  .0059888
T   86  9 .5667059E+08   4561630E+02 -.5455E+06 -.3714E+06   .9999980 -.0018898 -.0005855
T   87  9 .5689016E+08   4561630E+02  .9508E+06 -.1462E+07   .9999943  .0033627 -.0003804
T   88  9 .5668543E+08   4561630E+02 -.2181E+07  .1180E+07   .9999686 -.0066550  .0043080
T   89  9 .5640257E+08   4561630E+02  .1069E+07 -.1019E+07   .9999780  .0065188 -.0011907
T   90  9 .5642964E+08   4561631E+02  .7495E+05 -.2671E+05   .9999885  .0044796  .0016836
T   91  9 .5670178E+08   4561631E+02  .7487E+06  .1777E+06   .9999864  .0040788 -.0032375
T   92  9 .5637969E+08   4561630E+02  .1679E+07 -.4179E+07   .9999549 -.0002982 -.0094901
T   93  9 .5639044E+08   4561630E+02 -.6556E+06 -.6651E+06   .9999915 -.0020653 -.0035685
