============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   16  9 .5629542E+08   3601150E+02 -.5400E+07  .2322E+07   .9999443 -.0105363  .0006063
T   17  9 .6126198E+08   3601150E+02 -.1512E+07  .7143E+06   .9999676 -.0065066  .0047378
T   18  9 .6119161E+08   3601150E+02  .4250E+07  .6330E+06   .9999489  .0100556  .0010019
T   19  9 .6128116E+08   3601150E+02  .1883E+07 -.3304E+06   .9999876  .0049819  .0002176
T   20  9 .6127405E+08   3601150E+02  .2604E+06 -.1041E+07   .9999906  .0006941 -.0042815
T   21  9 .6141822E+08   3601150E+02  .5773E+06 -.1151E+07   .9999960  .0005458 -.0027892
T   22  9 .6127802E+08   3601150E+02  .1502E+07  .9676E+06   .9999912  .0018761  .0037526
T   23  9 .6148461E+08   3601150E+02  .3647E+07 -.6690E+06   .9999658  .0080391 -.0019665
T   24  9 .6127321E+08   3601150E+02 -.1658E+05 -.2265E+05   .9999999  .0003368  .0002987
T   25  9 .6138728E+08   3601150E+02 -.1049E+06  .5101E+06   .9999967 -.0007686  .0024624
T   26  9 .6122266E+08   3601150E+02 -.3352E+07  .3908E+06   .9999449 -.0104356  .0011785
T   27  9 .6134096E+08   3601150E+02  .1514E+07  .2524E+07   .9999544  .0048917  .0081963
T   28  9 .6106758E+08   3601150E+02 -.3410E+06  .7164E+06   .9999979  .0003806  .0020082
T   29  9 .6141774E+08   3601150E+02 -.2487E+06  .6374E+06   .9999964  .0009859  .0024959
T   30  9 .6167121E+08   3601150E+02  .1929E+07  .1442E+07   .9999453  .0082514  .0064318
T   31  9 .6138186E+08   3601150E+02 -.2986E+06  .1572E+06   .9999979 -.0020216  .0004405
T   32  9 .6114463E+08   3601150E+02  .5050E+06  .2118E+07   .9999494  .0090448  .0043972
T   33  9 .6093951E+08   3601150E+02 -.2898E+06 -.6145E+06   .9999912 -.0010278 -.0040605
T   34  9 .6105082E+08   3601150E+02 -.8294E+06 -.8178E+06   .9999884 -.0025005 -.0041047
T   35  9 .6127836E+08   3601150E+02 -.2537E+07  .4021E+06   .9999743 -.0070236  .0014608
T   36  9 .6128774E+08   3601150E+02 -.7994E+06  .2276E+06   .9999987 -.0012114  .0010350
T   37  9 .6137508E+08   3601150E+02  .4401E+06  .3488E+06   .9999964  .0019541  .0018530
T   38  9 .6129899E+08   3601150E+02  .2234E+06 -.2184E+05   .9999949 -.0009820  .0030275
T   39  9 .6146943E+08   3601150E+02  .7340E+06  .1628E+07   .9999623  .0058840  .0063819
T   40  9 .6145759E+08   3601150E+02 -.1549E+07  .1307E+07   .9999548 -.0086879  .0038699
