 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_iC4H10_6mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.338E-03  2.913E-03    2.31 mm   654.31 um   494.54 um  
  11.00 keV   1.404E-03  2.867E-03    2.51 mm   702.46 um   531.09 um  
  12.00 keV   1.466E-03  2.821E-03    2.72 mm   749.64 um   567.11 um  
  13.00 keV   1.526E-03  2.775E-03    2.92 mm   795.89 um   602.69 um  
  14.00 keV   1.584E-03  2.730E-03    3.13 mm   841.27 um   637.86 um  
  15.00 keV   1.639E-03  2.687E-03    3.34 mm   885.82 um   672.66 um  
  16.00 keV   1.693E-03  2.644E-03    3.54 mm   929.59 um   707.12 um  
  17.00 keV   1.745E-03  2.603E-03    3.75 mm   972.60 um   741.28 um  
  18.00 keV   1.796E-03  2.563E-03    3.95 mm     1.01 mm   775.14 um  
  20.00 keV   1.893E-03  2.486E-03    4.36 mm     1.10 mm   842.11 um  
  22.50 keV   2.008E-03  2.397E-03    4.88 mm     1.20 mm   924.45 um  
  25.00 keV   2.116E-03  2.314E-03    5.39 mm     1.29 mm     1.01 mm  
  27.50 keV   2.219E-03  2.238E-03    5.90 mm     1.39 mm     1.08 mm  
  30.00 keV   2.318E-03  2.167E-03    6.41 mm     1.48 mm     1.16 mm  
  32.50 keV   2.413E-03  2.101E-03    6.92 mm     1.56 mm     1.24 mm  
  35.00 keV   2.574E-03  2.040E-03    7.42 mm     1.64 mm     1.32 mm  
