 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_mylar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.995E+01  2.098E+02     304 A       111 A        81 A   
  11.00 keV   8.385E+01  2.066E+02     332 A       120 A        87 A   
  12.00 keV   8.758E+01  2.034E+02     360 A       128 A        93 A   
  13.00 keV   9.116E+01  2.002E+02     389 A       137 A        99 A   
  14.00 keV   9.460E+01  1.971E+02     417 A       145 A       105 A   
  15.00 keV   9.792E+01  1.940E+02     445 A       153 A       111 A   
  16.00 keV   1.011E+02  1.911E+02     474 A       161 A       117 A   
  17.00 keV   1.042E+02  1.881E+02     503 A       169 A       123 A   
  18.00 keV   1.073E+02  1.853E+02     531 A       177 A       129 A   
  20.00 keV   1.131E+02  1.799E+02     589 A       193 A       141 A   
  22.50 keV   1.199E+02  1.736E+02     661 A       212 A       156 A   
  25.00 keV   1.264E+02  1.677E+02     734 A       230 A       170 A   
  27.50 keV   1.326E+02  1.623E+02     806 A       248 A       185 A   
  30.00 keV   1.385E+02  1.573E+02     879 A       265 A       199 A   
  32.50 keV   1.441E+02  1.526E+02     953 A       282 A       213 A   
  35.00 keV   1.537E+02  1.482E+02    1025 A       298 A       227 A   
  37.50 keV   1.662E+02  1.441E+02    1096 A       313 A       241 A   
  40.00 keV   1.751E+02  1.402E+02    1166 A       327 A       254 A   
  45.00 keV   1.863E+02  1.332E+02    1305 A       355 A       281 A   
