 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_CF4_80mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  2.9000E-04 g/cm3 = 9.9223E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.130E-02  2.813E-02  200.72 um    90.31 um    64.17 um  
  11.00 keV   1.185E-02  2.769E-02  219.64 um    97.48 um    69.24 um  
  12.00 keV   1.238E-02  2.726E-02  238.65 um   104.56 um    74.27 um  
  13.00 keV   1.289E-02  2.683E-02  257.74 um   111.54 um    79.27 um  
  14.00 keV   1.337E-02  2.641E-02  276.91 um   118.44 um    84.24 um  
  15.00 keV   1.384E-02  2.599E-02  296.16 um   125.24 um    89.18 um  
  16.00 keV   1.430E-02  2.559E-02  315.48 um   131.97 um    94.10 um  
  17.00 keV   1.474E-02  2.520E-02  334.88 um   138.61 um    99.00 um  
  18.00 keV   1.516E-02  2.482E-02  354.34 um   145.17 um   103.88 um  
  20.00 keV   1.598E-02  2.409E-02  393.47 um   158.06 um   113.61 um  
  22.50 keV   1.695E-02  2.324E-02  442.70 um   173.76 um   125.68 um  
  25.00 keV   1.787E-02  2.245E-02  492.19 um   189.03 um   137.65 um  
  27.50 keV   1.874E-02  2.172E-02  541.90 um   203.89 um   149.52 um  
  30.00 keV   1.958E-02  2.104E-02  591.78 um   218.35 um   161.29 um  
  32.50 keV   2.038E-02  2.041E-02  641.77 um   232.43 um   172.95 um  
  35.00 keV   2.078E-02  1.983E-02  692.10 um   246.26 um   184.50 um  
