============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   33  8 .5467751E+08   4561631E+02  .3212E+07 -.1668E+07   .9999840  .0042265 -.0037726
T   34  8 .6113867E+08   4561630E+02  .4840E+06 -.5749E+06   .9999937  .0024739 -.0025507
T   35  8 .6114004E+08   4561630E+02  .6419E+06  .1232E+07   .9999996 -.0003472  .0008728
T   36  8 .6072524E+08   4561630E+02 -.4135E+06 -.3680E+05   .9999796 -.0056871  .0028921
T   37  8 .6073679E+08   4561630E+02  .1437E+07 -.1555E+07   .9999774  .0062750 -.0024164
T   38  8 .6066607E+08   4561630E+02  .6655E+06 -.2799E+06   .9999965  .0024909  .0008702
T   39  8 .6089208E+08   4561630E+02 -.6727E+06  .5823E+05   .9999953 -.0019206 -.0024094
T   40  8 .6107666E+08   4561631E+02 -.1506E+07 -.4682E+06   .9999815 -.0060846  .0002505
T   41  8 .6081196E+08   4561631E+02  .2165E+07  .2669E+07   .9999884  .0022075  .0042771
T   42  8 .6091786E+08   4561630E+02 -.3194E+05  .2600E+07   .9999764 -.0013855  .0067274
T   43  8 .6073661E+08   4561631E+02 -.3905E+07 -.1632E+07   .9998901 -.0144004 -.0035204
T   44  8 .6087988E+08   4561631E+02  .3644E+07  .3943E+07   .9997875  .0154209  .0136802
T   45  8 .6077187E+08   4561630E+02 -.6443E+05  .2205E+05   .9999936 -.0000814  .0035714
T   46  8 .6097923E+08   4561631E+02  .4896E+06 -.1153E+07   .9999882  .0032322 -.0036323
T   47  8 .6082537E+08   4561631E+02  .2682E+07  .1392E+07   .9999772  .0056540  .0036976
T   48  8 .6069892E+08   4561630E+02 -.1836E+07  .2037E+07   .9999447 -.0062208  .0084828
T   49  8 .6056777E+08   4561631E+02 -.1196E+07  .6729E+06   .9999949 -.0022472  .0022530
T   50  8 .6121128E+08   4561630E+02  .4872E+06 -.1380E+07   .9999838  .0038372 -.0042116
T   51  8 .6073505E+08   4561630E+02  .5521E+07  .3318E+06   .9998394  .0174674  .0039978
T   52  8 .6070609E+08   4561631E+02  .8477E+07  .9019E+06   .9997907  .0204524  .0004040
T   53  8 .6052540E+08   4561631E+02  .1115E+07  .4265E+06   .9999875  .0043920  .0023729
T   54  8 .6100241E+08   4561630E+02 -.3163E+04  .1361E+07   .9999923  .0016211  .0035622
T   55  8 .6080454E+08   4561631E+02  .9922E+06  .1869E+06   .9999961  .0025054  .0012599
T   56  8 .6087726E+08   4561630E+02 -.4354E+06  .2504E+07   .9999926  .0034217  .0017555
T   57  8 .6092930E+08   4561631E+02  .8350E+06 -.1349E+05   .9999956  .0028761  .0006548
T   58  8 .6097838E+08   4561630E+02 -.2026E+07  .8236E+06   .9999726 -.0068820  .0027405
T   59  8 .6072385E+08   4561631E+02  .6571E+06  .9787E+06   .9999914  .0034701  .0022723
T   60  8 .6112630E+08   4561630E+02  .1631E+07 -.6634E+06   .9999690  .0050985 -.0059963
T   61  8 .6081007E+08   4561631E+02  .9186E+06  .2130E+06   .9999921  .0039041  .0006908
T   62  8 .6096615E+08   4561631E+02 -.1889E+07 -.3269E+07   .9999691 -.0034557 -.0070667
T   63  8 .6072234E+08   4561630E+02  .1098E+07 -.1702E+06   .9999938  .0015973  .0031517
T   64  8 .6072570E+08   4561631E+02  .7713E+06 -.6512E+05   .9999999 -.0001805 -.0002332
T   65  8 .6093327E+08   4561631E+02 -.9803E+06  .3988E+07   .9999381 -.0026892  .0108007
T   66  8 .6069806E+08   4561631E+02  .3221E+07 -.8791E+07   .9997678  .0075587 -.0201775
T   67  8 .6079406E+08   4561631E+02 -.1244E+06  .3765E+07   .9998582  .0049208  .0161021
T   68  8 .6105171E+08   4561630E+02  .1411E+07  .1767E+07   .9999442  .0085398  .0062136
T   69  8 .6092355E+08   4561630E+02  .2405E+07 -.1213E+07   .9999320  .0115225 -.0018075
T   70  8 .6096856E+08   4561630E+02 -.1882E+06  .8850E+06   .9999959 -.0005972  .0028009
T   71  8 .6087452E+08   4561630E+02  .6500E+06  .1744E+07   .9999939  .0005139  .0034435
T   72  8 .6116235E+08   4561630E+02  .1323E+04  .7708E+05   .9999983  .0017141 -.0006990
T   73  8 .6102825E+08   4561630E+02 -.2661E+06 -.1154E+07   .9999907 -.0035552 -.0024523
T   74  8 .6099655E+08   4561630E+02 -.2688E+07  .1087E+07   .9999692 -.0060634  .0049777
T   75  8 .6105273E+08   4561630E+02  .4402E+06  .8733E+06   .9999921  .0033508  .0021596
T   76  8 .6089169E+08   4561630E+02  .6468E+06  .1055E+07   .9999858  .0022292  .0048414
T   77  8 .6090877E+08   4561630E+02  .1966E+07 -.2205E+07   .9999838  .0018778 -.0053754
T   78  8 .6086180E+08   4561630E+02 -.1206E+07  .6121E+06   .9999953 -.0030522  .0003264
T   79  8 .6088556E+08   4561630E+02 -.1163E+07 -.1594E+07   .9999857 -.0036046 -.0039398
T   80  8 .6064096E+08   4561631E+02  .6118E+06 -.2873E+06   .9999979  .0007077 -.0019485
T   81  8 .6088030E+08   4561630E+02  .4636E+07  .3853E+07   .9999056  .0112346  .0079047
T   82  8 .6095324E+08   4561630E+02  .1134E+07  .1128E+07   .9999287  .0069209  .0097288
T   83  8 .6049559E+08   4561630E+02  .5862E+07  .6472E+07   .9999129  .0019134  .0130575
T   84  8 .6070549E+08   4561630E+02 -.1626E+07  .3855E+06   .9999837 -.0047887  .0031190
T   85  8 .6106253E+08   4561630E+02 -.7941E+06  .2099E+06   .9999770 -.0066116  .0015116
T   86  8 .6086772E+08   4561630E+02 -.4443E+06  .2329E+07   .9999516  .0002364  .0098320
T   87  8 .6102424E+08   4561631E+02  .4507E+06 -.7283E+06   .9999995  .0003082 -.0009039
T   88  8 .6088009E+08   4561630E+02  .6680E+06  .8099E+06   .9999940  .0029276  .0018247
T   89  8 .6080733E+08   4561631E+02  .8814E+06  .3163E+06   .9999715  .0075432 -.0002630
T   90  8 .6074293E+08   4561630E+02 -.7749E+06  .4950E+06   .9999967 -.0022468  .0012442
T   91  8 .6074738E+08   4561630E+02  .4089E+06  .8881E+05   .9999984 -.0015902  .0008509
T   92  8 .6098534E+08   4561631E+02  .2180E+07 -.9515E+06   .9999705  .0067561 -.0036504
T   93  8 .6092753E+08   4561631E+02  .3667E+06  .7243E+06   .9999711  .0063011  .0042582
T   94  8 .6081640E+08   4561631E+02 -.1881E+07  .2685E+07   .9999845 -.0022058  .0051150
T   95  8 .6078478E+08   4561630E+02  .9661E+06  .1463E+07   .9999783  .0042666  .0050214
T   96  8 .6098857E+08   4561631E+02  .6569E+06  .4363E+06   .9999887  .0045405 -.0014342
T   97  8 .6094091E+08   4561631E+02 -.2153E+06  .1226E+07   .9999998  .0000069 -.0006342
T   98  8 .6105268E+08   4561630E+02 -.1282E+07 -.1951E+06   .9999941 -.0034286 -.0002164
T   99  8 .6093171E+08   4561630E+02  .1257E+07 -.2004E+07   .9999679  .0059254 -.0054019
T  100  8 .6089753E+08   4561630E+02 -.8011E+04 -.6372E+06   .9999975 -.0018546 -.0012226
T  101  8 .6096496E+08   4561630E+02 -.5793E+06 -.6259E+06   .9999827 -.0042500 -.0040698
T  102  8 .6089807E+08   4561630E+02  .4398E+06 -.2744E+07   .9999562  .0026839 -.0089668
T  103  8 .6069294E+08   4561631E+02  .6094E+05  .2066E+07   .9999957 -.0017231  .0023523
T  104  8 .6088350E+08   4561630E+02 -.1088E+07  .1866E+06   .9999882 -.0035360  .0033442
T  105  8 .6096312E+08   4561630E+02  .1035E+07  .5260E+07   .9999006  .0006925  .0140833
T  106  8 .6090895E+08   4561630E+02  .9675E+06  .2081E+07   .9999856  .0004448  .0053544
T  107  8 .6090300E+08   4561630E+02 -.4594E+07  .1125E+07   .9998956 -.0144474  .0000747
T  108  8 .6070391E+08   4561630E+02  .2460E+07  .2956E+07   .9999317  .0060890  .0099799
T  109  8 .6076555E+08   4561630E+02  .1133E+07  .1092E+07   .9999978 -.0001950  .0021016
T  110  8 .6078641E+08   4561630E+02 -.5949E+06 -.8810E+06   .9999771 -.0044770 -.0050820
T  111  8 .6073866E+08   4561631E+02 -.2084E+05 -.1188E+07   .9999920  .0013625 -.0037516
T  112  8 .6088269E+08   4561630E+02  .1682E+07 -.4350E+06   .9999960  .0027619 -.0006109
T  113  8 .6090602E+08   4561630E+02 -.1361E+07 -.2855E+07   .9999886 -.0013902 -.0045592
T  114  8 .6093575E+08   4561631E+02 -.1609E+07  .5820E+06   .9999887 -.0030405  .0036428
