============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  123  8 .6062170E+08   3601150E+02  .1048E+07 -.4033E+07   .9999862  .0035700 -.0038474
T  124  8 .6445689E+08   3601150E+02 -.1045E+07  .3729E+06   .9999933 -.0035586  .0008448
T  125  8 .6452307E+08   3601150E+02 -.1254E+06  .2270E+07   .9999660 -.0001545  .0082393
T  126  8 .6460429E+08   3601150E+02  .2113E+07  .2571E+07   .9999469  .0063831  .0080916
T  127  8 .6447750E+08   3601150E+02 -.4841E+06  .2321E+06   .9999992  .0006375  .0010771
T  128  8 .6467515E+08   3601150E+02 -.2969E+07  .1028E+07   .9999549 -.0088777  .0033645
T  129  8 .6466663E+08   3601150E+02 -.2027E+07  .6045E+06   .9999779 -.0062811  .0021668
T  130  8 .6463618E+08   3601150E+02  .8845E+06 -.7969E+06   .9999912  .0029484 -.0029787
T  131  8 .6446939E+08   3601150E+02 -.1233E+07  .7891E+05   .9999928 -.0034645  .0015552
T  132  8 .6457717E+08   3601150E+02  .3153E+06 -.5013E+06   .9999905 -.0018670 -.0039359
T  133  8 .6459441E+08   3601150E+02 -.1481E+06 -.1793E+06   .9999991 -.0009454 -.0009745
T  134  8 .6456456E+08   3601150E+02 -.1616E+07 -.1434E+07   .9999865 -.0048936 -.0017609
T  135  8 .6453590E+08   3601150E+02 -.2624E+06  .7422E+06   .9999981 -.0004624  .0018997
T  136  8 .6451368E+08   3601150E+02  .4369E+06 -.4697E+05   .9999997  .0007451  .0001597
T  137  8 .6445755E+08   3601150E+02 -.1586E+07 -.1158E+07   .9999663 -.0068780 -.0044744
T  138  8 .6444787E+08   3601150E+02 -.9031E+05 -.2435E+07   .9999668 -.0006980 -.0081244
T  139  8 .6460235E+08   3601150E+02 -.1548E+07 -.8646E+06   .9999768 -.0068158  .0001423
T  140  8 .6466009E+08   3601150E+02  .5627E+06 -.5771E+06   .9999933  .0007319 -.0035743
T  141  8 .6444951E+08   3601150E+02 -.1589E+07 -.3333E+07   .9999316 -.0042872 -.0108792
T  142  8 .6456171E+08   3601150E+02 -.4131E+06  .3983E+06   .9999953 -.0024613  .0018041
T  143  8 .6453099E+08   3601150E+02  .4083E+06 -.5321E+06   .9999980  .0009047 -.0017562
T  144  8 .6448878E+08   3601150E+02  .1827E+07  .1618E+07   .9999577  .0059696  .0069953
T  145  8 .6456111E+08   3601150E+02  .1781E+04 -.1866E+05   .9999999 -.0002741 -.0001475
T  146  8 .6471970E+08   3601150E+02  .5669E+06 -.1219E+07   .9999948  .0031969 -.0003689
T  147  8 .6438572E+08   3601150E+02 -.2037E+07  .1566E+07   .9999545 -.0064972  .0069883
T  148  8 .6459705E+08   3601150E+02  .3716E+07 -.4543E+06   .9999425  .0107171  .0002197
T  149  8 .6460846E+08   3601150E+02 -.5451E+06 -.7407E+05   .9999984 -.0017809 -.0000396
T  150  8 .6452923E+08   3601150E+02 -.3637E+06 -.1011E+07   .9999979 -.0016041 -.0013065
T  151  8 .6446728E+08   3601150E+02  .1223E+07 -.1605E+07   .9999322  .0088314 -.0075920
T  152  8 .6452556E+08   3601150E+02  .1457E+07 -.1073E+07   .9999784  .0042338 -.0050219
T  153  8 .6476849E+08   3601150E+02  .8986E+06 -.3180E+06   .9999939  .0021199 -.0027603
T  154  8 .6453749E+08   3601150E+02  .3534E+05  .7284E+05   .9999890 -.0027225 -.0038184
T  155  8 .6455652E+08   3601150E+02 -.4636E+06  .1699E+05   .9999913 -.0027649 -.0031092
T  156  8 .6459062E+08   3601150E+02  .4228E+06 -.4468E+06   .9999988  .0006638 -.0013922
T  157  8 .6470221E+08   3601150E+02 -.1374E+07 -.8744E+06   .9999862 -.0049717 -.0017014
T  158  8 .6444884E+08   3601150E+02 -.1701E+07  .4852E+06   .9999948 -.0030641  .0009609
T  159  8 .6447361E+08   3601150E+02 -.2293E+06  .6397E+05   .9999994 -.0010693 -.0002891
T  160  8 .6435639E+08   3601150E+02  .2818E+05  .1279E+07   .9999933 -.0002398  .0036415
T  161  8 .6469326E+08   3601150E+02 -.7649E+06 -.1156E+07   .9999936 -.0011887 -.0033831
T  162  8 .6459155E+08   3601150E+02  .6940E+06  .3927E+06   .9999950  .0028664 -.0013280
T  163  8 .6460526E+08   3601150E+02 -.1680E+07  .7339E+06   .9999822 -.0056831  .0017936
T  164  8 .6465187E+08   3601150E+02 -.6143E+06 -.7791E+06   .9999944 -.0030887 -.0013005
T  165  8 .6469752E+08   3601150E+02  .3032E+06  .1213E+07   .9999937  .0006230  .0034969
T  166  8 .6439416E+08   3601150E+02  .1792E+06 -.1874E+07   .9999697  .0011170 -.0076990
T  167  8 .6459245E+08   3601150E+02  .9572E+06 -.5544E+06   .9999972  .0023653  .0002587
T  168  8 .6441398E+08   3601150E+02 -.3762E+06 -.1285E+07   .9999960 -.0008297 -.0027182
T  169  8 .6453423E+08   3601150E+02  .1156E+07 -.2326E+07   .9999574  .0059326 -.0070667
T  170  8 .6457017E+08   3601150E+02  .2023E+07 -.6568E+06   .9999810  .0057708 -.0021530
T  171  8 .6463269E+08   3601150E+02 -.2845E+07 -.1410E+07   .9998508 -.0172551 -.0007486
