 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_iC4H10_6mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.471E-03  2.570E-03    2.45 mm   671.89 um   511.82 um  
  11.00 keV   1.543E-03  2.523E-03    2.67 mm   720.27 um   549.36 um  
  12.00 keV   1.611E-03  2.476E-03    2.89 mm   767.45 um   586.31 um  
  13.00 keV   1.677E-03  2.431E-03    3.11 mm   813.50 um   622.71 um  
  14.00 keV   1.740E-03  2.387E-03    3.32 mm   858.49 um   658.62 um  
  15.00 keV   1.801E-03  2.344E-03    3.54 mm   902.48 um   694.08 um  
  16.00 keV   1.860E-03  2.303E-03    3.76 mm   945.51 um   729.11 um  
  17.00 keV   1.918E-03  2.264E-03    3.97 mm   987.63 um   763.75 um  
  18.00 keV   1.973E-03  2.225E-03    4.19 mm     1.03 mm   798.01 um  
  20.00 keV   2.080E-03  2.153E-03    4.62 mm     1.11 mm   865.54 um  
  22.50 keV   2.206E-03  2.069E-03    5.15 mm     1.21 mm   948.11 um  
  25.00 keV   2.326E-03  1.992E-03    5.68 mm     1.30 mm     1.03 mm  
  27.50 keV   2.439E-03  1.922E-03    6.21 mm     1.39 mm     1.11 mm  
  30.00 keV   2.548E-03  1.857E-03    6.74 mm     1.47 mm     1.18 mm  
  32.50 keV   2.652E-03  1.797E-03    7.26 mm     1.55 mm     1.26 mm  
  35.00 keV   2.731E-03  1.741E-03    7.78 mm     1.63 mm     1.33 mm  
