====== H (57800) into ACTAR_gas                 =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 1600 keV
============= TARGET MATERIAL ======================================
Layer 1 : ACTAR_gas
Layer Width = 25600.E+05 A ;
  Layer # 1- Density = 4.481E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  H = 19.2 Atomic Percent = 10.4 Mass Percent
  Layer # 1-  C = 7.69 Atomic Percent = 49.8 Mass Percent
  Layer # 1-  H = 73.0 Atomic Percent = 39.7 Mass Percent
====================================================================
 Total Ions calculated =000066.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
256000.E+02  4646.30E-07  1109.85E-12
512000.E+02  4654.92E-07  1139.24E-12
768000.E+02  4692.70E-07  4648.21E-12
102400.E+03  4727.03E-07  2809.68E-11
128000.E+03  4780.37E-07  2600.27E-11
153600.E+03  4794.39E-07  2767.55E-11
179200.E+03  4833.55E-07  5485.33E-11
204800.E+03  4844.97E-07  1746.11E-12
230400.E+03  4883.95E-07  2769.87E-11
256000.E+03  4931.66E-07  3166.84E-11
281600.E+03  4979.98E-07  5741.83E-11
307200.E+03  5023.02E-07  1608.36E-11
332800.E+03  5073.40E-07  2432.77E-11
358400.E+03  5139.54E-07  2765.39E-11
384000.E+03  5163.19E-07  7407.05E-12
409600.E+03  5224.01E-07  6744.99E-11
435200.E+03  5310.65E-07  6615.19E-11
460800.E+03  5422.66E-07  2378.03E-11
486400.E+03  5517.51E-07  3261.48E-10
512000.E+03  5590.55E-07  3556.34E-09
537600.E+03  5634.47E-07  5136.40E-12
563200.E+03  5698.55E-07  3623.43E-11
588800.E+03  5746.16E-07  1866.99E-11
614400.E+03  5824.20E-07  1256.72E-11
640000.E+03  5895.15E-07  2289.83E-11
665600.E+03  5962.90E-07  5922.06E-11
691200.E+03  6008.97E-07  2489.79E-11
716800.E+03  6102.12E-07  2327.38E-10
742400.E+03  6171.86E-07  2909.25E-11
768000.E+03  6297.92E-07  2717.77E-11
793600.E+03  6403.96E-07  2897.62E-11
819200.E+03  6493.40E-07  3461.69E-11
844800.E+03  6575.01E-07  1434.85E-11
870400.E+03  6719.53E-07  2389.49E-11
896000.E+03  6877.26E-07  3633.36E-11
921600.E+03  7034.77E-07  6689.49E-11
947200.E+03  7157.94E-07  1136.52E-11
972800.E+03  7257.80E-07  2310.31E-11
998400.E+03  7419.30E-07  5062.78E-11
102400.E+04  7558.60E-07  1381.96E-09
104960.E+04  7710.84E-07  1818.58E-11
107520.E+04  7839.98E-07  1171.70E-11
110080.E+04  7980.77E-07  7093.55E-11
112640.E+04  8133.20E-07  6002.48E-11
115200.E+04  8367.62E-07  4183.97E-11
117760.E+04  8563.95E-07  3139.23E-11
120320.E+04  8701.31E-07  4322.39E-10
122880.E+04  8921.79E-07  4780.09E-11
125440.E+04  9139.54E-07  3918.76E-11
128000.E+04  9339.93E-07  2010.26E-11
130560.E+04  9536.16E-07  3823.99E-11
133120.E+04  9788.54E-07  7271.69E-11
135680.E+04  1012.13E-06  5619.11E-11
138240.E+04  1046.27E-06  3096.46E-11
140800.E+04  1077.41E-06  2143.26E-11
143360.E+04  1109.59E-06  8783.67E-11
145920.E+04  1153.84E-06  9439.71E-11
148480.E+04  1199.38E-06  1360.44E-10
151040.E+04  1243.88E-06  4333.60E-11
153600.E+04  1306.00E-06  2759.46E-10
156160.E+04  1361.92E-06  4009.67E-11
158720.E+04  1434.98E-06  2065.85E-10
161280.E+04  1521.07E-06  1262.18E-10
163840.E+04  1618.20E-06  7263.98E-11
166400.E+04  1791.09E-06  1550.31E-10
168960.E+04  1980.44E-06  3503.07E-10
171520.E+04  2267.10E-06  1324.61E-09
174080.E+04  2668.01E-06  6625.68E-10
176640.E+04  2916.20E-06  1756.59E-09
179200.E+04  1741.70E-06  7112.84E-09
181760.E+04  5998.65E-07  2036.14E-09
184320.E+04  9137.53E-08  4776.72E-10
186880.E+04  0000.00E+00  0000.00E+00
189440.E+04  0000.00E+00  0000.00E+00
192000.E+04  0000.00E+00  0000.00E+00
194560.E+04  0000.00E+00  0000.00E+00
197120.E+04  0000.00E+00  0000.00E+00
199680.E+04  0000.00E+00  0000.00E+00
202240.E+04  0000.00E+00  0000.00E+00
204800.E+04  0000.00E+00  0000.00E+00
207360.E+04  0000.00E+00  0000.00E+00
209920.E+04  0000.00E+00  0000.00E+00
212480.E+04  0000.00E+00  0000.00E+00
215040.E+04  0000.00E+00  0000.00E+00
217600.E+04  0000.00E+00  0000.00E+00
220160.E+04  0000.00E+00  0000.00E+00
222720.E+04  0000.00E+00  0000.00E+00
225280.E+04  0000.00E+00  0000.00E+00
227840.E+04  0000.00E+00  0000.00E+00
230400.E+04  0000.00E+00  0000.00E+00
232960.E+04  0000.00E+00  0000.00E+00
235520.E+04  0000.00E+00  0000.00E+00
238080.E+04  0000.00E+00  0000.00E+00
240640.E+04  0000.00E+00  0000.00E+00
243200.E+04  0000.00E+00  0000.00E+00
245760.E+04  0000.00E+00  0000.00E+00
248320.E+04  0000.00E+00  0000.00E+00
250880.E+04  0000.00E+00  0000.00E+00
253440.E+04  0000.00E+00  0000.00E+00
256000.E+04  0000.00E+00  0000.00E+00
