====== H (57800) into ACTAR_gas                 =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 800 keV
============= TARGET MATERIAL ======================================
Layer 1 : ACTAR_gas
Layer Width = 25600.E+05 A ;
  Layer # 1- Density = 4.481E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  H = 19.2 Atomic Percent = 10.4 Mass Percent
  Layer # 1-  C = 7.69 Atomic Percent = 49.8 Mass Percent
  Layer # 1-  H = 73.0 Atomic Percent = 39.7 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
256000.E+02  9942.81E-07  6574.32E-12
512000.E+02  1001.83E-06  2259.31E-11
768000.E+02  1021.60E-06  9404.32E-11
102400.E+03  1055.61E-06  1631.49E-10
128000.E+03  1082.09E-06  1605.99E-10
153600.E+03  1110.47E-06  6835.46E-10
179200.E+03  1150.53E-06  2096.12E-10
204800.E+03  1193.61E-06  1018.01E-10
230400.E+03  1239.09E-06  2057.47E-10
256000.E+03  1293.96E-06  1283.28E-09
281600.E+03  1356.00E-06  1259.85E-10
307200.E+03  1425.52E-06  3493.42E-10
332800.E+03  1515.05E-06  1646.74E-10
358400.E+03  1617.93E-06  4567.78E-10
384000.E+03  1758.86E-06  7185.80E-10
409600.E+03  1938.17E-06  5477.56E-10
435200.E+03  2197.24E-06  1363.27E-09
460800.E+03  2619.94E-06  1311.37E-09
486400.E+03  3419.94E-06  1387.43E-09
512000.E+03  2240.04E-06  9475.41E-09
537600.E+03  8666.96E-09  2648.33E-10
563200.E+03  0000.00E+00  0000.00E+00
588800.E+03  0000.00E+00  0000.00E+00
614400.E+03  0000.00E+00  0000.00E+00
640000.E+03  0000.00E+00  0000.00E+00
665600.E+03  0000.00E+00  0000.00E+00
691200.E+03  0000.00E+00  0000.00E+00
716800.E+03  0000.00E+00  0000.00E+00
742400.E+03  0000.00E+00  0000.00E+00
768000.E+03  0000.00E+00  0000.00E+00
793600.E+03  0000.00E+00  0000.00E+00
819200.E+03  0000.00E+00  0000.00E+00
844800.E+03  0000.00E+00  0000.00E+00
870400.E+03  0000.00E+00  0000.00E+00
896000.E+03  0000.00E+00  0000.00E+00
921600.E+03  0000.00E+00  0000.00E+00
947200.E+03  0000.00E+00  0000.00E+00
972800.E+03  0000.00E+00  0000.00E+00
998400.E+03  0000.00E+00  0000.00E+00
102400.E+04  0000.00E+00  0000.00E+00
104960.E+04  0000.00E+00  0000.00E+00
107520.E+04  0000.00E+00  0000.00E+00
110080.E+04  0000.00E+00  0000.00E+00
112640.E+04  0000.00E+00  0000.00E+00
115200.E+04  0000.00E+00  0000.00E+00
117760.E+04  0000.00E+00  0000.00E+00
120320.E+04  0000.00E+00  0000.00E+00
122880.E+04  0000.00E+00  0000.00E+00
125440.E+04  0000.00E+00  0000.00E+00
128000.E+04  0000.00E+00  0000.00E+00
130560.E+04  0000.00E+00  0000.00E+00
133120.E+04  0000.00E+00  0000.00E+00
135680.E+04  0000.00E+00  0000.00E+00
138240.E+04  0000.00E+00  0000.00E+00
140800.E+04  0000.00E+00  0000.00E+00
143360.E+04  0000.00E+00  0000.00E+00
145920.E+04  0000.00E+00  0000.00E+00
148480.E+04  0000.00E+00  0000.00E+00
151040.E+04  0000.00E+00  0000.00E+00
153600.E+04  0000.00E+00  0000.00E+00
156160.E+04  0000.00E+00  0000.00E+00
158720.E+04  0000.00E+00  0000.00E+00
161280.E+04  0000.00E+00  0000.00E+00
163840.E+04  0000.00E+00  0000.00E+00
166400.E+04  0000.00E+00  0000.00E+00
168960.E+04  0000.00E+00  0000.00E+00
171520.E+04  0000.00E+00  0000.00E+00
174080.E+04  0000.00E+00  0000.00E+00
176640.E+04  0000.00E+00  0000.00E+00
179200.E+04  0000.00E+00  0000.00E+00
181760.E+04  0000.00E+00  0000.00E+00
184320.E+04  0000.00E+00  0000.00E+00
186880.E+04  0000.00E+00  0000.00E+00
189440.E+04  0000.00E+00  0000.00E+00
192000.E+04  0000.00E+00  0000.00E+00
194560.E+04  0000.00E+00  0000.00E+00
197120.E+04  0000.00E+00  0000.00E+00
199680.E+04  0000.00E+00  0000.00E+00
202240.E+04  0000.00E+00  0000.00E+00
204800.E+04  0000.00E+00  0000.00E+00
207360.E+04  0000.00E+00  0000.00E+00
209920.E+04  0000.00E+00  0000.00E+00
212480.E+04  0000.00E+00  0000.00E+00
215040.E+04  0000.00E+00  0000.00E+00
217600.E+04  0000.00E+00  0000.00E+00
220160.E+04  0000.00E+00  0000.00E+00
222720.E+04  0000.00E+00  0000.00E+00
225280.E+04  0000.00E+00  0000.00E+00
227840.E+04  0000.00E+00  0000.00E+00
230400.E+04  0000.00E+00  0000.00E+00
232960.E+04  0000.00E+00  0000.00E+00
235520.E+04  0000.00E+00  0000.00E+00
238080.E+04  0000.00E+00  0000.00E+00
240640.E+04  0000.00E+00  0000.00E+00
243200.E+04  0000.00E+00  0000.00E+00
245760.E+04  0000.00E+00  0000.00E+00
248320.E+04  0000.00E+00  0000.00E+00
250880.E+04  0000.00E+00  0000.00E+00
253440.E+04  0000.00E+00  0000.00E+00
256000.E+04  0000.00E+00  0000.00E+00
