 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 16, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_H2-iC4H10_95-5_700mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3800E-04 g/cm3 = 4.4821E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.891E-02  2.805E-04  744.19 um    97.12 um   114.11 um  
  11.00 keV   1.973E-02  2.609E-04  793.92 um    99.16 um   117.66 um  
  12.00 keV   2.050E-02  2.441E-04  841.87 um   100.99 um   120.90 um  
  13.00 keV   2.122E-02  2.295E-04  888.25 um   102.63 um   123.86 um  
  14.00 keV   2.189E-02  2.168E-04  933.26 um   104.12 um   126.60 um  
  15.00 keV   2.253E-02  2.055E-04  977.04 um   105.49 um   129.14 um  
  16.00 keV   2.313E-02  1.954E-04    1.02 mm   106.74 um   131.52 um  
  17.00 keV   2.369E-02  1.863E-04    1.06 mm   107.91 um   133.74 um  
  18.00 keV   2.423E-02  1.782E-04    1.10 mm   108.99 um   135.84 um  
  20.00 keV   2.521E-02  1.640E-04    1.18 mm   111.23 um   139.69 um  
  22.50 keV   2.629E-02  1.493E-04    1.28 mm   113.85 um   144.00 um  
  25.00 keV   2.722E-02  1.373E-04    1.37 mm   116.16 um   147.86 um  
  27.50 keV   2.804E-02  1.272E-04    1.46 mm   118.24 um   151.36 um  
  30.00 keV   2.874E-02  1.186E-04    1.54 mm   120.13 um   154.58 um  
  32.50 keV   2.934E-02  1.112E-04    1.63 mm   121.87 um   157.56 um  
