 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_H2-iC4H10_95-5_760mbar.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5030E-04 g/cm3 = 4.8816E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.060E-02  3.055E-04  683.29 um    89.17 um   104.77 um  
  11.00 keV   2.149E-02  2.842E-04  728.95 um    91.05 um   108.03 um  
  12.00 keV   2.232E-02  2.659E-04  772.97 um    92.72 um   111.00 um  
  13.00 keV   2.311E-02  2.500E-04  815.56 um    94.23 um   113.73 um  
  14.00 keV   2.384E-02  2.361E-04  856.89 um    95.60 um   116.24 um  
  15.00 keV   2.454E-02  2.238E-04  897.08 um    96.85 um   118.57 um  
  16.00 keV   2.519E-02  2.128E-04  936.27 um    98.01 um   120.75 um  
  17.00 keV   2.580E-02  2.029E-04  974.55 um    99.08 um   122.80 um  
  18.00 keV   2.639E-02  1.940E-04    1.01 mm   100.07 um   124.72 um  
  20.00 keV   2.745E-02  1.786E-04    1.08 mm   102.13 um   128.26 um  
  22.50 keV   2.863E-02  1.626E-04    1.17 mm   104.53 um   132.22 um  
  25.00 keV   2.965E-02  1.495E-04    1.26 mm   106.66 um   135.76 um  
  27.50 keV   3.053E-02  1.385E-04    1.34 mm   108.56 um   138.98 um  
  30.00 keV   3.130E-02  1.292E-04    1.42 mm   110.30 um   141.93 um  
  32.50 keV   3.195E-02  1.211E-04    1.50 mm   111.90 um   144.67 um  
