 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Mg_iC4H10_6mbar.txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.857E-04  4.097E-03    1.97 mm   568.16 um   430.75 um  
  11.00 keV   1.034E-03  4.065E-03    2.14 mm   610.29 um   462.05 um  
  12.00 keV   1.080E-03  4.030E-03    2.31 mm   651.88 um   492.94 um  
  13.00 keV   1.124E-03  3.993E-03    2.48 mm   692.97 um   523.49 um  
  14.00 keV   1.166E-03  3.955E-03    2.65 mm   733.60 um   553.74 um  
  15.00 keV   1.207E-03  3.916E-03    2.83 mm   773.81 um   583.74 um  
  16.00 keV   1.247E-03  3.876E-03    3.00 mm   813.63 um   613.51 um  
  17.00 keV   1.285E-03  3.837E-03    3.17 mm   853.07 um   643.09 um  
  18.00 keV   1.322E-03  3.797E-03    3.34 mm   892.16 um   672.50 um  
  20.00 keV   1.394E-03  3.719E-03    3.69 mm   969.73 um   730.94 um  
  22.50 keV   1.479E-03  3.624E-03    4.13 mm     1.07 mm   803.32 um  
  25.00 keV   1.559E-03  3.532E-03    4.57 mm     1.16 mm   875.08 um  
  27.50 keV   1.635E-03  3.445E-03    5.01 mm     1.25 mm   946.33 um  
  30.00 keV   1.707E-03  3.362E-03    5.45 mm     1.34 mm     1.02 mm  
  32.50 keV   1.777E-03  3.282E-03    5.90 mm     1.43 mm     1.09 mm  
  35.00 keV   1.844E-03  3.207E-03    6.35 mm     1.52 mm     1.16 mm  
