 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Mg_mylar.txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.888E+01  3.003E+02     252 A        93 A        68 A   
  11.00 keV   6.176E+01  2.980E+02     275 A       100 A        73 A   
  12.00 keV   6.451E+01  2.955E+02     297 A       107 A        78 A   
  13.00 keV   6.714E+01  2.928E+02     320 A       114 A        83 A   
  14.00 keV   6.967E+01  2.901E+02     343 A       121 A        88 A   
  15.00 keV   7.212E+01  2.873E+02     366 A       128 A        93 A   
  16.00 keV   7.449E+01  2.844E+02     389 A       135 A        97 A   
  17.00 keV   7.678E+01  2.816E+02     412 A       142 A       102 A   
  18.00 keV   7.900E+01  2.787E+02     435 A       149 A       107 A   
  20.00 keV   8.328E+01  2.730E+02     482 A       162 A       117 A   
  22.50 keV   8.833E+01  2.661E+02     541 A       179 A       129 A   
  25.00 keV   9.311E+01  2.595E+02     600 A       196 A       141 A   
  27.50 keV   9.765E+01  2.531E+02     660 A       212 A       153 A   
  30.00 keV   1.020E+02  2.471E+02     721 A       228 A       165 A   
  32.50 keV   1.062E+02  2.413E+02     782 A       244 A       177 A   
  35.00 keV   1.102E+02  2.358E+02     844 A       260 A       189 A   
  37.50 keV   1.140E+02  2.306E+02     907 A       276 A       201 A   
  40.00 keV   1.178E+02  2.256E+02     969 A       292 A       213 A   
  45.00 keV   1.300E+02  2.163E+02    1095 A       322 A       238 A   
