 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Na_CF4_70mbar.txt.txt

 Ion = Sodium [11] , Mass = 20 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.430E-03  3.652E-02  184.97 um    83.77 um    59.44 um  
  11.00 keV   7.792E-03  3.625E-02  201.80 um    90.43 um    64.00 um  
  12.00 keV   8.139E-03  3.595E-02  218.71 um    97.04 um    68.52 um  
  13.00 keV   8.471E-03  3.563E-02  235.71 um   103.61 um    73.01 um  
  14.00 keV   8.791E-03  3.530E-02  252.80 um   110.14 um    77.48 um  
  15.00 keV   9.100E-03  3.496E-02  269.97 um   116.63 um    81.92 um  
  16.00 keV   9.398E-03  3.461E-02  287.24 um   123.08 um    86.35 um  
  17.00 keV   9.687E-03  3.426E-02  304.61 um   129.51 um    90.77 um  
  18.00 keV   9.968E-03  3.392E-02  322.06 um   135.90 um    95.18 um  
  20.00 keV   1.051E-02  3.323E-02  357.28 um   148.58 um   104.00 um  
  22.50 keV   1.114E-02  3.239E-02  401.81 um   164.28 um   115.00 um  
  25.00 keV   1.175E-02  3.159E-02  446.88 um   179.82 um   126.00 um  
  27.50 keV   1.232E-02  3.082E-02  492.46 um   195.20 um   136.99 um  
  30.00 keV   1.287E-02  3.008E-02  538.52 um   210.43 um   148.00 um  
  32.50 keV   1.339E-02  2.938E-02  585.03 um   225.49 um   159.02 um  
  35.00 keV   1.390E-02  2.871E-02  631.95 um   240.40 um   170.05 um  
