 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Na_iC4H10_6mbar.txt

 Ion = Sodium [11] , Mass = 20 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.122E-03  3.769E-03    2.06 mm   579.51 um   441.01 um  
  11.00 keV   1.176E-03  3.733E-03    2.23 mm   622.14 um   472.99 um  
  12.00 keV   1.229E-03  3.695E-03    2.41 mm   664.12 um   504.53 um  
  13.00 keV   1.279E-03  3.655E-03    2.59 mm   705.49 um   535.69 um  
  14.00 keV   1.327E-03  3.615E-03    2.77 mm   746.31 um   566.52 um  
  15.00 keV   1.374E-03  3.574E-03    2.95 mm   786.61 um   597.06 um  
  16.00 keV   1.419E-03  3.534E-03    3.13 mm   826.43 um   627.35 um  
  17.00 keV   1.462E-03  3.494E-03    3.31 mm   865.77 um   657.41 um  
  18.00 keV   1.505E-03  3.454E-03    3.49 mm   904.68 um   687.26 um  
  20.00 keV   1.586E-03  3.376E-03    3.85 mm   981.65 um   746.47 um  
  22.50 keV   1.682E-03  3.281E-03    4.30 mm     1.08 mm   819.63 um  
  25.00 keV   1.773E-03  3.192E-03    4.76 mm     1.17 mm   891.95 um  
  27.50 keV   1.860E-03  3.107E-03    5.21 mm     1.26 mm   963.53 um  
  30.00 keV   1.943E-03  3.027E-03    5.67 mm     1.34 mm     1.03 mm  
  32.50 keV   2.022E-03  2.951E-03    6.13 mm     1.43 mm     1.10 mm  
  35.00 keV   2.098E-03  2.879E-03    6.58 mm     1.51 mm     1.17 mm  
