====== He (1600) into ACTAR_gas                 =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer 1 : ACTAR_gas
Layer Width = 25600.E+05 A ;
  Layer # 1- Density = 4.481E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  H = 19.2 Atomic Percent = 10.4 Mass Percent
  Layer # 1-  C = 7.69 Atomic Percent = 49.8 Mass Percent
  Layer # 1-  H = 73.0 Atomic Percent = 39.7 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
256000.E+02  8256.48E-06  2393.15E-09
512000.E+02  9135.26E-06  4201.82E-09
768000.E+02  9339.57E-06  9520.06E-09
102400.E+03  7419.42E-06  1525.75E-08
128000.E+03  3960.05E-06  4293.36E-08
153600.E+03  6577.89E-07  7691.65E-08
179200.E+03  0000.00E+00  0000.00E+00
204800.E+03  0000.00E+00  0000.00E+00
230400.E+03  0000.00E+00  0000.00E+00
256000.E+03  0000.00E+00  0000.00E+00
281600.E+03  0000.00E+00  0000.00E+00
307200.E+03  0000.00E+00  0000.00E+00
332800.E+03  0000.00E+00  0000.00E+00
358400.E+03  0000.00E+00  0000.00E+00
384000.E+03  0000.00E+00  0000.00E+00
409600.E+03  0000.00E+00  0000.00E+00
435200.E+03  0000.00E+00  0000.00E+00
460800.E+03  0000.00E+00  0000.00E+00
486400.E+03  0000.00E+00  0000.00E+00
512000.E+03  0000.00E+00  0000.00E+00
537600.E+03  0000.00E+00  0000.00E+00
563200.E+03  0000.00E+00  0000.00E+00
588800.E+03  0000.00E+00  0000.00E+00
614400.E+03  0000.00E+00  0000.00E+00
640000.E+03  0000.00E+00  0000.00E+00
665600.E+03  0000.00E+00  0000.00E+00
691200.E+03  0000.00E+00  0000.00E+00
716800.E+03  0000.00E+00  0000.00E+00
742400.E+03  0000.00E+00  0000.00E+00
768000.E+03  0000.00E+00  0000.00E+00
793600.E+03  0000.00E+00  0000.00E+00
819200.E+03  0000.00E+00  0000.00E+00
844800.E+03  0000.00E+00  0000.00E+00
870400.E+03  0000.00E+00  0000.00E+00
896000.E+03  0000.00E+00  0000.00E+00
921600.E+03  0000.00E+00  0000.00E+00
947200.E+03  0000.00E+00  0000.00E+00
972800.E+03  0000.00E+00  0000.00E+00
998400.E+03  0000.00E+00  0000.00E+00
102400.E+04  0000.00E+00  0000.00E+00
104960.E+04  0000.00E+00  0000.00E+00
107520.E+04  0000.00E+00  0000.00E+00
110080.E+04  0000.00E+00  0000.00E+00
112640.E+04  0000.00E+00  0000.00E+00
115200.E+04  0000.00E+00  0000.00E+00
117760.E+04  0000.00E+00  0000.00E+00
120320.E+04  0000.00E+00  0000.00E+00
122880.E+04  0000.00E+00  0000.00E+00
125440.E+04  0000.00E+00  0000.00E+00
128000.E+04  0000.00E+00  0000.00E+00
130560.E+04  0000.00E+00  0000.00E+00
133120.E+04  0000.00E+00  0000.00E+00
135680.E+04  0000.00E+00  0000.00E+00
138240.E+04  0000.00E+00  0000.00E+00
140800.E+04  0000.00E+00  0000.00E+00
143360.E+04  0000.00E+00  0000.00E+00
145920.E+04  0000.00E+00  0000.00E+00
148480.E+04  0000.00E+00  0000.00E+00
151040.E+04  0000.00E+00  0000.00E+00
153600.E+04  0000.00E+00  0000.00E+00
156160.E+04  0000.00E+00  0000.00E+00
158720.E+04  0000.00E+00  0000.00E+00
161280.E+04  0000.00E+00  0000.00E+00
163840.E+04  0000.00E+00  0000.00E+00
166400.E+04  0000.00E+00  0000.00E+00
168960.E+04  0000.00E+00  0000.00E+00
171520.E+04  0000.00E+00  0000.00E+00
174080.E+04  0000.00E+00  0000.00E+00
176640.E+04  0000.00E+00  0000.00E+00
179200.E+04  0000.00E+00  0000.00E+00
181760.E+04  0000.00E+00  0000.00E+00
184320.E+04  0000.00E+00  0000.00E+00
186880.E+04  0000.00E+00  0000.00E+00
189440.E+04  0000.00E+00  0000.00E+00
192000.E+04  0000.00E+00  0000.00E+00
194560.E+04  0000.00E+00  0000.00E+00
197120.E+04  0000.00E+00  0000.00E+00
199680.E+04  0000.00E+00  0000.00E+00
202240.E+04  0000.00E+00  0000.00E+00
204800.E+04  0000.00E+00  0000.00E+00
207360.E+04  0000.00E+00  0000.00E+00
209920.E+04  0000.00E+00  0000.00E+00
212480.E+04  0000.00E+00  0000.00E+00
215040.E+04  0000.00E+00  0000.00E+00
217600.E+04  0000.00E+00  0000.00E+00
220160.E+04  0000.00E+00  0000.00E+00
222720.E+04  0000.00E+00  0000.00E+00
225280.E+04  0000.00E+00  0000.00E+00
227840.E+04  0000.00E+00  0000.00E+00
230400.E+04  0000.00E+00  0000.00E+00
232960.E+04  0000.00E+00  0000.00E+00
235520.E+04  0000.00E+00  0000.00E+00
238080.E+04  0000.00E+00  0000.00E+00
240640.E+04  0000.00E+00  0000.00E+00
243200.E+04  0000.00E+00  0000.00E+00
245760.E+04  0000.00E+00  0000.00E+00
248320.E+04  0000.00E+00  0000.00E+00
250880.E+04  0000.00E+00  0000.00E+00
253440.E+04  0000.00E+00  0000.00E+00
256000.E+04  0000.00E+00  0000.00E+00
