 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_H2-iC4H10_95-5_650mbar.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2900E-04 g/cm3 = 4.1898E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.011E-02  2.630E-03  788.36 um   146.57 um   142.94 um  
  11.00 keV   1.063E-02  2.474E-03  860.65 um   154.64 um   153.18 um  
  12.00 keV   1.113E-02  2.338E-03  931.24 um   162.06 um   162.85 um  
  13.00 keV   1.161E-02  2.218E-03    1.00 mm   168.90 um   171.98 um  
  14.00 keV   1.208E-02  2.112E-03    1.07 mm   175.24 um   180.63 um  
  15.00 keV   1.253E-02  2.016E-03    1.13 mm   181.13 um   188.84 um  
  16.00 keV   1.297E-02  1.930E-03    1.20 mm   186.61 um   196.63 um  
  17.00 keV   1.340E-02  1.851E-03    1.26 mm   191.74 um   204.05 um  
  18.00 keV   1.381E-02  1.780E-03    1.32 mm   196.54 um   211.12 um  
  20.00 keV   1.461E-02  1.654E-03    1.44 mm   205.61 um   224.31 um  
  22.50 keV   1.557E-02  1.523E-03    1.59 mm   215.73 um   239.26 um  
  25.00 keV   1.647E-02  1.412E-03    1.73 mm   224.57 um   252.76 um  
  27.50 keV   1.734E-02  1.319E-03    1.86 mm   232.38 um   265.02 um  
  30.00 keV   1.817E-02  1.238E-03    1.98 mm   239.34 um   276.24 um  
  32.50 keV   1.896E-02  1.168E-03    2.11 mm   245.60 um   286.56 um  
