! CF4 -> Energy
! 17F (4.5 MeV/u);    Settings on 17F;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	17F[beam]
3.58093	-
3.58178	-
3.58264	-
3.5835	-
3.58436	-
3.58522	-
3.58607	-
3.58693	-
3.58779	-
3.58865	-
3.5895	-
3.59036	1.57242e+09
3.59122	4.04907e+09
3.59208	9.79089e+09
3.59294	1.71653e+10
3.59379	3.64669e+10
3.59465	6.47469e+10
3.59551	1.10984e+11
3.59637	1.95275e+11
3.59723	2.98594e+11
3.59808	5.16097e+11
3.59894	8.05904e+11
3.5998	1.24032e+12
3.60066	1.94662e+12
3.60152	2.78886e+12
3.60237	4.2991e+12
3.60323	6.1828e+12
3.60409	8.81339e+12
3.60495	1.26248e+13
3.60581	1.70267e+13
3.60666	2.41174e+13
3.60752	3.25168e+13
3.60838	4.35335e+13
3.60924	5.82334e+13
3.6101	7.47748e+13
3.61095	9.88543e+13
3.61181	1.26193e+14
3.61267	1.60051e+14
3.61353	2.02175e+14
3.61438	2.48433e+14
3.61524	3.0979e+14
3.6161	3.77041e+14
3.61696	4.56079e+14
3.61782	5.48338e+14
3.61867	6.47208e+14
3.61953	7.67253e+14
3.62039	8.94404e+14
3.62125	1.03577e+15
3.62211	1.19033e+15
3.62296	1.35151e+15
3.62382	1.52914e+15
3.62468	1.71045e+15
3.62554	1.89915e+15
3.6264	2.09034e+15
3.62725	2.28277e+15
3.62811	2.47005e+15
3.62897	2.65233e+15
3.62983	2.82461e+15
3.63069	2.98023e+15
3.63154	3.12751e+15
3.6324	3.24064e+15
3.63326	3.33991e+15
3.63412	3.41147e+15
3.63498	3.45208e+15
3.63583	3.47721e+15
3.63669	3.45417e+15
3.63755	3.4156e+15
3.63841	3.34595e+15
3.63926	3.24836e+15
3.64012	3.13679e+15
3.64098	2.99062e+15
3.64184	2.83594e+15
3.6427	2.66427e+15
3.64355	2.48227e+15
3.64441	2.2951e+15
3.64527	2.10236e+15
3.64613	1.91075e+15
3.64699	1.72142e+15
3.64784	1.53933e+15
3.6487	1.36086e+15
3.64956	1.19875e+15
3.65042	1.04324e+15
3.65128	9.00944e+14
3.65213	7.72903e+14
3.65299	6.51992e+14
3.65385	5.52372e+14
3.65471	4.59408e+14
3.65557	3.79757e+14
3.65642	3.11984e+14
3.65728	2.50151e+14
3.65814	2.03541e+14
3.659	1.61098e+14
3.65985	1.26992e+14
3.66071	9.94576e+13
3.66157	7.52101e+13
3.66243	5.856e+13 
3.66329	4.37654e+13
3.66414	3.26817e+13
3.665	2.42336e+13
3.66586	1.71034e+13
3.66672	1.26792e+13
3.66758	8.8489e+12
3.66843	6.20629e+12
3.66929	4.31446e+12
3.67015	2.79803e+12
3.67101	1.95267e+12
3.67187	1.24384e+12
3.67272	8.0803e+11
3.67358	5.17352e+11
3.67444	2.99237e+11
3.6753	1.95667e+11
3.67616	1.11177e+11
3.67701	6.48453e+10
3.67787	3.65131e+10
3.67873	1.71803e+10
3.67959	9.79778e+09
3.68045	4.05019e+09
3.6813	1.57249e+09
3.68216	-
3.68302	-
3.68388	-
3.68473	-
3.68559	-
3.68645	-
3.68731	-
3.68817	-
3.68902	-
3.68988	-
