! IC_gas_CF4 -> Energy
! 17F (4.5 MeV/u);    Settings on 17F;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	17F[beam]
3.53219	-
3.53306	-
3.53394	-
3.53482	-
3.5357	-
3.53658	-
3.53746	-
3.53833	-
3.53921	-
3.54009	-
3.54097	-
3.54185	1.5148e+09
3.54273	3.90125e+09
3.5436	9.42449e+09
3.54448	1.65161e+10
3.54536	3.50241e+10
3.54624	6.20902e+10
3.54712	1.06272e+11
3.548	1.86618e+11
3.54888	2.85045e+11
3.54975	4.99826e+11
3.55063	7.81798e+11
3.55151	1.19815e+12
3.55239	1.86399e+12
3.55327	2.65457e+12
3.55415	4.09121e+12
3.55502	5.88351e+12
3.5559	8.38714e+12
3.55678	1.20183e+13
3.55766	1.62132e+13
3.55854	2.30172e+13
3.55942	3.107e+13 
3.56029	4.16204e+13
3.56117	5.57238e+13
3.56205	7.16037e+13
3.56293	9.47418e+13
3.56381	1.21059e+14
3.56469	1.53733e+14
3.56556	1.94468e+14
3.56644	2.39232e+14
3.56732	2.98795e+14
3.5682	3.64126e+14
3.56908	4.40994e+14
3.56996	5.30858e+14
3.57084	6.2722e+14
3.57171	7.44447e+14
3.57259	8.68687e+14
3.57347	1.00695e+15
3.57435	1.15832e+15
3.57523	1.31623e+15
3.57611	1.49049e+15
3.57698	1.66844e+15
3.57786	1.85377e+15
3.57874	2.04167e+15
3.57962	2.23086e+15
3.5805	2.41514e+15
3.58138	2.59453e+15
3.58225	2.76416e+15
3.58313	2.91743e+15
3.58401	3.06252e+15
3.58489	3.174e+15 
3.58577	3.27182e+15
3.58665	3.34233e+15
3.58752	3.38232e+15
3.5884	3.40706e+15
3.58928	3.3843e+15
3.59016	3.34621e+15
3.59104	3.2775e+15
3.59192	3.18126e+15
3.5928	3.07125e+15
3.59367	2.9272e+15
3.59455	2.77482e+15
3.59543	2.60576e+15
3.59631	2.42663e+15
3.59719	2.24246e+15
3.59807	2.05298e+15
3.59894	1.86468e+15
3.59982	1.67875e+15
3.6007	1.50008e+15
3.60158	1.32502e+15
3.60246	1.16623e+15
3.60334	1.01398e+15
3.60421	8.74828e+14
3.60509	7.4975e+14
3.60597	6.31708e+14
3.60685	5.34641e+14
3.60773	4.44116e+14
3.60861	3.66673e+14
3.60949	3.00852e+14
3.61036	2.40842e+14
3.61124	1.95748e+14
3.61212	1.54715e+14
3.613	1.21807e+14
3.61388	9.53076e+13
3.61476	7.20121e+13
3.61563	5.60306e+13
3.61651	4.18385e+13
3.61739	3.12253e+13
3.61827	2.31268e+13
3.61915	1.62856e+13
3.62003	1.20697e+13
3.6209	8.4208e+12
3.62178	5.90583e+12
3.62266	4.10584e+12
3.62354	2.66333e+12
3.62442	1.86986e+12
3.6253	1.20164e+12
3.62617	7.83924e+11
3.62705	5.01074e+11
3.62793	2.85656e+11
3.62881	1.8699e+11
3.62969	1.06455e+11
3.63057	6.21833e+10
3.63145	3.50676e+10
3.63232	1.65301e+10
3.6332	9.43084e+09
3.63408	3.90222e+09
3.63496	1.51483e+09
3.63584	-
3.63672	-
3.63759	-
3.63847	-
3.63935	-
3.64023	-
3.64111	-
3.64199	-
3.64286	-
3.64374	-
