! IC_gas_CF4 -> Energy
! 17O (4.5 MeV/u);    Settings on 17O;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	17O[beam]
3.78387	-
3.78465	-
3.78544	-
3.78622	-
3.787	-
3.78779	-
3.78857	-
3.78936	-
3.79014	-
3.79092	-
3.79171	-
3.79249	1.82079e+09
3.79328	4.68495e+09
3.79406	1.13695e+10
3.79484	1.99642e+10
3.79563	4.27327e+10
3.79641	7.63396e+10
3.79719	1.31623e+11
3.79798	2.33459e+11
3.79876	3.58572e+11
3.79955	6.24827e+11
3.80033	9.80904e+11
3.80111	1.51663e+12
3.8019	2.37724e+12
3.80268	3.40029e+12
3.80347	5.26042e+12
3.80425	7.57696e+12
3.80503	1.08063e+13
3.80582	1.54615e+13
3.8066	2.08295e+13
3.80738	2.93965e+13
3.80817	3.9495e+13
3.80895	5.26568e+13
3.80974	7.00544e+13
3.81052	8.957e+13 
3.8113	1.17562e+14
3.81209	1.49194e+14
3.81287	1.88109e+14
3.81366	2.3609e+14
3.81444	2.88606e+14
3.81522	3.5747e+14
3.81601	4.32642e+14
3.81679	5.20432e+14
3.81757	6.22229e+14
3.81836	7.3103e+14
3.81914	8.6205e+14
3.81993	1.00045e+15
3.82071	1.15361e+15
3.82149	1.32035e+15
3.82228	1.4939e+15
3.82306	1.68412e+15
3.82385	1.87798e+15
3.82463	2.07912e+15
3.82541	2.28239e+15
3.8262	2.48673e+15
3.82698	2.685e+15 
3.82776	2.87784e+15
3.82855	3.05983e+15
3.82933	3.22412e+15
3.83012	3.37956e+15
3.8309	3.49902e+15
3.83168	3.60394e+15
3.83247	3.6798e+15
3.83325	3.72325e+15
3.83404	3.7505e+15
3.83482	3.72728e+15
3.8356	3.68776e+15
3.83639	3.6156e+15
3.83717	3.51395e+15
3.83795	3.39757e+15
3.83874	3.24437e+15
3.83952	3.08201e+15
3.84031	2.90132e+15
3.84109	2.70917e+15
3.84187	2.5113e+15
3.84266	2.30653e+15
3.84344	2.10262e+15
3.84423	1.90041e+15
3.84501	1.70518e+15
3.84579	1.51344e+15
3.84658	1.33815e+15
3.84736	1.16963e+15
3.84814	1.01467e+15
3.84893	8.74522e+14
3.84971	7.41785e+14
3.8505	6.3145e+14
3.85128	5.28198e+14
3.85206	4.3911e+14
3.85285	3.62808e+14
3.85363	2.92898e+14
3.85442	2.39576e+14
3.8552	1.90858e+14
3.85598	1.51347e+14
3.85677	1.19233e+14
3.85755	9.08183e+13
3.85834	7.10146e+13
3.85912	5.3362e+13
3.8599	4.00119e+13
3.86069	2.97718e+13
3.86147	2.10868e+13
3.86225	1.56481e+13
3.86304	1.09323e+13
3.86382	7.66246e+12
3.86461	5.31774e+12
3.86539	3.43557e+12
3.86617	2.40113e+12
3.86696	1.53108e+12
3.86774	9.89813e+11
3.86853	6.30194e+11
3.86931	3.61401e+11
3.87009	2.35209e+11
3.87088	1.32513e+11
3.87166	7.6809e+10
3.87244	4.29647e+10
3.87323	2.00502e+10
3.87401	1.14129e+10
3.8748	4.69713e+09
3.87558	1.82431e+09
3.87636	-
3.87715	-
3.87793	-
3.87872	-
3.8795	-
3.88028	-
3.88107	-
3.88185	-
3.88263	-
3.88342	-
