! IC_gas_CF4 -> Energy
! 20Mg (6 MeV/u);    Settings on 20Mg;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	20Mg[beam]
4.96075	-
4.96176	-
4.96277	-
4.96379	-
4.9648	-
4.96581	-
4.96682	-
4.96784	-
4.96885	-
4.96986	-
4.97088	-
4.97189	7.91015e+08
4.9729	1.83168e+09
4.97391	5.01925e+09
4.97493	9.28026e+09
4.97594	2.11139e+10
4.97695	3.88793e+10
4.97797	6.85083e+10
4.97898	1.24018e+11
4.97999	1.92467e+11
4.981	3.40027e+11
4.98202	5.38106e+11
4.98303	8.3722e+11
4.98404	1.31869e+12
4.98506	1.89134e+12
4.98607	2.93096e+12
4.98708	4.22273e+12
4.98809	6.01879e+12
4.98911	8.5927e+12
4.99012	1.15555e+13
4.99113	1.62383e+13
4.99215	2.17319e+13
4.99316	2.88468e+13
4.99417	3.81687e+13
4.99518	4.85941e+13
4.9962	6.33686e+13
4.99721	7.99852e+13
4.99822	1.00286e+14
4.99924	1.25116e+14
5.00025	1.52212e+14
5.00126	1.87361e+14
5.00227	2.25603e+14
5.00329	2.70029e+14
5.0043	3.21233e+14
5.00531	3.75827e+14
5.00633	4.41054e+14
5.00734	5.0977e+14
5.00835	5.85461e+14
5.00936	6.67474e+14
5.01038	7.52648e+14
5.01139	8.45393e+14
5.0124	9.39704e+14
5.01342	1.03715e+15
5.01443	1.13521e+15
5.01544	1.23359e+15
5.01645	1.32845e+15
5.01747	1.42052e+15
5.01848	1.50702e+15
5.01949	1.58474e+15
5.02051	1.65807e+15
5.02152	1.71386e+15
5.02253	1.76265e+15
5.02354	1.79743e+15
5.02456	1.8167e+15
5.02557	1.82822e+15
5.02658	1.81574e+15
5.0276	1.79552e+15
5.02861	1.75983e+15
5.02962	1.7102e+15
5.03063	1.65359e+15
5.03165	1.57959e+15
5.03266	1.50126e+15
5.03367	1.41425e+15
5.03469	1.32181e+15
5.0357	1.22664e+15
5.03671	1.12814e+15
5.03772	1.03001e+15
5.03874	9.32616e+14
5.03975	8.38458e+14
5.04076	7.45916e+14
5.04178	6.61064e+14
5.04279	5.794e+14 
5.0438	5.04112e+14
5.04481	4.35829e+14
5.04583	3.7105e+14
5.04684	3.16915e+14
5.04785	2.66165e+14
5.04887	2.22182e+14
5.04988	1.84345e+14
5.05089	1.4958e+14
5.0519	1.22846e+14
5.05292	9.83678e+13
5.05393	7.83996e+13
5.05494	6.20633e+13
5.05596	4.75429e+13
5.05697	3.73173e+13
5.05798	2.81786e+13
5.05899	2.12136e+13
5.06001	1.58412e+13
5.06102	1.12652e+13
5.06203	8.37441e+12
5.06305	5.86378e+12
5.06406	4.11349e+12
5.06507	2.85517e+12
5.06608	1.84283e+12
5.0671	1.28537e+12
5.06811	8.16628e+11
5.06912	5.25347e+11
5.07014	3.32338e+11
5.07115	1.88466e+11
5.07216	1.21602e+11
5.07317	6.73449e+10
5.07419	3.83025e+10
5.0752	2.08524e+10
5.07621	9.1985e+09
5.07723	4.97892e+09
5.07824	1.82127e+09
5.07925	7.87523e+08
5.08026	-
5.08128	-
5.08229	-
5.0833	-
5.08432	-
5.08533	-
5.08634	-
5.08735	-
5.08837	-
5.08938	-
5.09039	-
