! CF4 -> Energy
! 20Na (6 MeV/u);    Settings on 20Na;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	20Na[beam]
5.0703	-
5.07128	-
5.07227	-
5.07325	-
5.07423	-
5.07522	-
5.0762	-
5.07719	-
5.07817	-
5.07916	-
5.08014	-
5.08112	8.37267e+08
5.08211	1.94835e+09
5.08309	5.35185e+09
5.08408	9.90155e+09
5.08506	2.25543e+10
5.08605	4.15635e+10
5.08703	7.32856e+10
5.08801	1.32776e+11
5.089	2.06151e+11
5.08998	3.64522e+11
5.09097	5.77122e+11
5.09195	8.98184e+11
5.09294	1.41472e+12
5.09392	2.02901e+12
5.0949	3.14233e+12
5.09589	4.52021e+12
5.09687	6.42719e+12
5.09786	9.16431e+12
5.09884	1.23165e+13
5.09983	1.72783e+13
5.10081	2.30872e+13
5.10179	3.05903e+13
5.10278	4.03844e+13
5.10376	5.13241e+13
5.10475	6.67522e+13
5.10573	8.40719e+13
5.10672	1.05174e+14
5.1077	1.30908e+14
5.10868	1.58958e+14
5.10967	1.95234e+14
5.11065	2.34642e+14
5.11164	2.80313e+14
5.11262	3.32836e+14
5.11361	3.88786e+14
5.11459	4.5551e+14
5.11557	5.25754e+14
5.11656	6.03036e+14
5.11754	6.86685e+14
5.11853	7.73517e+14
5.11951	8.67957e+14
5.1205	9.63964e+14
5.12148	1.06311e+15
5.12246	1.16285e+15
5.12345	1.2629e+15
5.12443	1.35938e+15
5.12542	1.45305e+15
5.1264	1.54109e+15
5.12739	1.62027e+15
5.12837	1.69503e+15
5.12935	1.7521e+15
5.13034	1.80211e+15
5.13132	1.83798e+15
5.13231	1.85819e+15
5.13329	1.87057e+15
5.13428	1.85867e+15
5.13526	1.83891e+15
5.13624	1.80347e+15
5.13723	1.75384e+15
5.13821	1.69711e+15
5.1392	1.62259e+15
5.14018	1.54359e+15
5.14117	1.45566e+15
5.14215	1.36203e+15
5.14313	1.26555e+15
5.14412	1.1654e+15
5.1451	1.06553e+15
5.14609	9.66219e+14
5.14707	8.70018e+14
5.14806	7.75372e+14
5.14904	6.88322e+14
5.15003	6.04457e+14
5.15101	5.26965e+14
5.15199	4.56528e+14
5.15298	3.89619e+14
5.15396	3.33516e+14
5.15495	2.8085e+14
5.15593	2.3506e+14
5.15692	1.95554e+14
5.1579	1.5919e+14
5.15888	1.31081e+14
5.15987	1.05294e+14
5.16085	8.41527e+13
5.16184	6.6805e+13
5.16282	5.1354e+13
5.16381	4.04022e+13
5.16479	3.05981e+13
5.16577	2.30894e+13
5.16676	1.72774e+13
5.16774	1.23136e+13
5.16873	9.16127e+12
5.16971	6.42419e+12
5.1707	4.51768e+12
5.17168	3.14032e+12
5.17266	2.02754e+12
5.17365	1.41365e+12
5.17463	8.97447e+11
5.17562	5.76633e+11
5.1766	3.64205e+11
5.17759	2.0597e+11
5.17857	1.32661e+11
5.17955	7.32232e+10
5.18054	4.15292e+10
5.18152	2.25365e+10
5.18251	9.89432e+09
5.18349	5.34805e+09
5.18448	1.94711e+09
5.18546	8.36828e+08
5.18644	-
5.18743	-
5.18841	-
5.1894	-
5.19038	-
5.19137	-
5.19235	-
5.19333	-
5.19432	-
5.1953	-
